# BLOCK     VELOCITY     AVE_POFV     CUM_AVG_POFV     ERROR
           1           0   0.0137722   0.0137722           0
           1    0.139841   0.0838915   0.0838915           0
           1    0.279682    0.208151    0.208151           0
           1    0.419524    0.365869    0.365869           0
           1    0.559365    0.554222    0.554222           0
           1    0.699206    0.648288    0.648288           0
           1    0.839047    0.745466    0.745466           0
           1    0.978888    0.770208    0.770208           0
           1     1.11873    0.705165    0.705165           0
           1     1.25857    0.699934    0.699934           0
           1     1.39841     0.58457     0.58457           0
           1     1.53825    0.481366    0.481366           0
           1     1.67809    0.388205    0.388205           0
           1     1.81794    0.305991    0.305991           0
           1     1.95778    0.202169    0.202169           0
           1     2.09762    0.133772    0.133772           0
           1     2.23746    0.091528    0.091528           0
           1      2.3773   0.0568988   0.0568988           0
           1     2.51714   0.0478497   0.0478497           0
           1     2.65698    0.026772    0.026772           0
           1     2.79682   0.0155379   0.0155379           0
           1     2.93666   0.0109472   0.0109472           0
           1     3.07651  0.00496595  0.00496595           0
           1     3.21635   0.0010594   0.0010594           0
           1     3.35619 0.000529701 0.000529701           0
           1     3.49603 0.000838694 0.000838694           0
           1     3.63587 0.000794552 0.000794552           0
           1     3.77571 0.000926978 0.000926978           0
           1     3.91555 6.62127e-05 6.62127e-05           0
           1     4.05539 8.82836e-05 8.82836e-05           0
           2           0  0.00904907   0.0114107  0.00166989
           2    0.139841   0.0742906    0.079091  0.00339441
           2    0.279682    0.192414    0.200282  0.00556371
           2    0.419524    0.339715    0.352792  0.00924684
           2    0.559365    0.484831    0.519527   0.0245334
           2    0.699206    0.627034    0.637661  0.00751452
           2    0.839047     0.74955    0.747508   0.0014436
           2    0.978888    0.789719    0.779963  0.00689806
           2     1.11873    0.768553    0.736859   0.0224109
           2     1.25857    0.707725     0.70383  0.00275454
           2     1.39841    0.592515    0.588542  0.00280917
           2     1.53825    0.528488    0.504927   0.0166599
           2     1.67809     0.42599    0.407098   0.0133591
           2     1.81794    0.319167    0.312579  0.00465853
           2     1.95778    0.219318    0.210744  0.00606312
           2     2.09762    0.143483    0.138627  0.00343343
           2     2.23746   0.0781751   0.0848515  0.00472096
           2      2.3773   0.0469889   0.0519438  0.00350365
           2     2.51714   0.0228654   0.0353576  0.00883327
           2     2.65698   0.0159131   0.0213426  0.00383919
           2     2.79682  0.00975533   0.0126466  0.00204445
           2     2.93666  0.00361963  0.00728339  0.00259068
           2     3.07651  0.00180981  0.00338788  0.00111586
           2     3.21635           0 0.000529701 0.000374555
           2     3.35619           0 0.000264851 0.000187278
           2     3.49603           0 0.000419347 0.000296523
           2     3.63587           0 0.000397276 0.000280917
           2     3.77571           0 0.000463489 0.000327736
           2     3.91555           0 3.31063e-05 2.34097e-05
           2     4.05539           0 4.41418e-05  3.1213e-05
           3           0  0.00666541   0.0098289  0.00170508
           3    0.139841    0.072525   0.0769023  0.00288349
           3    0.279682       0.201    0.200521  0.00371427
           3    0.419524    0.360727    0.355437  0.00653186
           3    0.559365    0.533939    0.524331   0.0168194
           3    0.699206    0.648641    0.641321  0.00583333
           3    0.839047    0.743436    0.746151  0.00146782
           3    0.978888    0.794663    0.784863  0.00609533
           3     1.11873    0.791683    0.755134   0.0211155
           3     1.25857    0.664797    0.690819   0.0107808
           3     1.39841    0.590595    0.589227  0.00195432
           3     1.53825    0.504651    0.504835   0.0111069
           3     1.67809    0.393215     0.40247  0.00967443
           3     1.81794    0.301113    0.308757  0.00440267
           3     1.95778    0.218259    0.213249  0.00453011
           3     2.09762    0.130616    0.135957  0.00316132
           3     2.23746   0.0870035   0.0855689  0.00320134
           3      2.3773   0.0470331   0.0503069  0.00269113
           3     2.51714   0.0274562   0.0327238  0.00626922
           3     2.65698    0.016509   0.0197314  0.00287775
           3     2.79682   0.0101968     0.01183  0.00151732
           3     2.93666  0.00562808  0.00673162  0.00178491
           3     3.07651 0.000617985  0.00246458  0.00105911
           3     3.21635           0 0.000353134 0.000288333
           3     3.35619           0 0.000176567 0.000144166
           3     3.49603           0 0.000279565 0.000228264
           3     3.63587           0 0.000264851  0.00021625
           3     3.77571           0 0.000308993 0.000252291
           3     3.91555           0 2.20709e-05 1.80208e-05
           3     4.05539           0 2.94279e-05 2.40277e-05
           4           0  0.00816623  0.00941324  0.00132851
           4    0.139841   0.0699647   0.0751679  0.00263306
           4    0.279682    0.185528    0.196773   0.0042776
           4    0.419524    0.339208     0.35138  0.00602875
           4    0.559365    0.533476    0.526617    0.012769
           4    0.699206     0.68177    0.651433  0.00978939
           4    0.839047    0.784951    0.755851  0.00847241
           4    0.978888    0.811238    0.791457  0.00731478
           4     1.11873    0.764492    0.757473   0.0159657
           4     1.25857    0.705452    0.694477  0.00868414
           4     1.39841    0.589756    0.589359  0.00147022
           4     1.53825    0.504673    0.504794  0.00833022
           4     1.67809    0.363088    0.392625   0.0111958
           4     1.81794    0.271075    0.299336  0.00880136
           4     1.95778    0.171778    0.202881  0.00960011
           4     2.09762    0.134655    0.135631  0.00238769
           4     2.23746   0.0855026   0.0855523  0.00240105
           4      2.3773   0.0540958   0.0512541  0.00217867
           4     2.51714   0.0347837   0.0332388  0.00472302
           4     2.65698   0.0253595   0.0211384  0.00247853
           4     2.79682   0.0138385   0.0123321  0.00121824
           4     2.93666  0.00975533  0.00748755  0.00149018
           4     3.07651  0.00450246  0.00297405 0.000908646
           4     3.21635   0.0029575  0.00100423 0.000603907
           4     3.35619  0.00048556 0.000253815 0.000127147
           4     3.49603 0.000419347  0.00031451 0.000173852
           4     3.63587           0 0.000198638 0.000172026
           4     3.77571           0 0.000231744 0.000200697
           4     3.91555           0 1.65532e-05 1.43355e-05
           4     4.05539           0 2.20709e-05  1.9114e-05
           5           0  0.00794552  0.00911969  0.00109476
           5    0.139841   0.0719953   0.0745334  0.00218157
           5    0.279682    0.191884    0.195795  0.00353206
           5    0.419524    0.365097    0.354123  0.00541132
           5    0.559365     0.51999    0.525292   0.0102837
           5    0.699206    0.642395    0.649626  0.00799666
           5    0.839047    0.741428    0.752966   0.0072524
           5    0.978888    0.768486    0.786863   0.0071504
           5     1.11873    0.761755    0.758329   0.0127955
           5     1.25857    0.702053    0.695992  0.00707826
           5     1.39841    0.594347    0.590357  0.00147634
           5     1.53825    0.531776    0.510191  0.00822846
           5     1.67809    0.405928    0.395285  0.00926742
           5     1.81794     0.31579    0.302627  0.00763153
           5     1.95778    0.194709    0.201247  0.00781797
           5     2.09762    0.131211    0.134747  0.00206731
           5     2.23746   0.0922122   0.0868843   0.0022603
           5      2.3773   0.0551993   0.0520432   0.0018804
           5     2.51714   0.0244766   0.0314863  0.00409062
           5     2.65698   0.0148096   0.0198726  0.00228327
           5     2.79682  0.00851936   0.0115696  0.00118954
           5     2.93666  0.00317821  0.00662568  0.00141967
           5     3.07651   0.0036417  0.00310758 0.000736663
           5     3.21635  0.00214088  0.00123156  0.00052417
           5     3.35619           0 0.000203052 0.000111391
           5     3.49603           0 0.000251608  0.00015003
           5     3.63587           0  0.00015891 0.000142134
           5     3.77571           0 0.000185396 0.000165823
           5     3.91555           0 1.32425e-05 1.18445e-05
           5     4.05539           0 1.76567e-05 1.57926e-05
           6           0   0.0108147   0.0094022  0.00094805
           6    0.139841   0.0792786   0.0753243  0.00195608
           6    0.279682    0.210645     0.19827  0.00371048
           6    0.419524    0.355253    0.354311  0.00451271
           6    0.559365    0.518997    0.524243  0.00862312
           6    0.699206    0.635465    0.647266  0.00700351
           6    0.839047     0.74966    0.752415  0.00606457
           6    0.978888    0.799452    0.788961  0.00625895
           6     1.11873    0.748799    0.756741   0.0107611
           6     1.25857    0.719379     0.69989  0.00688862
           6     1.39841    0.632177    0.597327  0.00648055
           6     1.53825    0.472692    0.503941  0.00892012
           6     1.67809    0.383305    0.393289  0.00793503
           6     1.81794    0.287407    0.300091  0.00676808
           6     1.95778    0.210667    0.202817  0.00667075
           6     2.09762    0.133661    0.134566  0.00173066
           6     2.23746   0.0857675   0.0866981  0.00189123
           6      2.3773   0.0536102   0.0523043  0.00158503
           6     2.51714   0.0327973   0.0317048  0.00341468
           6     2.65698   0.0154496   0.0191355  0.00201822
           6     2.79682  0.00573843   0.0105977  0.00133031
           6     2.93666    0.003112  0.00604007  0.00129823
           6     3.07651  0.00267058  0.00303475 0.000617476
           6     3.21635  0.00154496  0.00128379 0.000439403
           6     3.35619 0.000949048 0.000327385 0.000146625
           6     3.49603  0.00108147 0.000389919 0.000177688
           6     3.63587 0.000595914 0.000231744  0.00013583
           6     3.77571           0 0.000154496 0.000141035
           6     3.91555           0 1.10354e-05 1.00739e-05
           6     4.05539           0 1.47139e-05 1.34319e-05
           7           0   0.0120948  0.00978686 0.000887226
           7    0.139841   0.0781751   0.0757315  0.00171852
           7    0.279682    0.197115    0.198105  0.00318408
           7    0.419524    0.352516    0.354055  0.00387532
           7    0.559365    0.497787    0.520463  0.00817763
           7    0.699206     0.67612    0.651388  0.00711335
           7    0.839047    0.754935    0.752775  0.00520887
           7    0.978888    0.785989    0.788536  0.00537919
           7     1.11873    0.738625    0.754153  0.00952991
           7     1.25857    0.717723    0.702438  0.00635819
           7     1.39841     0.62752     0.60164   0.0068412
           7     1.53825    0.490989    0.502091  0.00783537
           7     1.67809    0.392178     0.39313  0.00680304
           7     1.81794     0.28957    0.298588  0.00596575
           7     1.95778    0.210843    0.203963   0.0058155
           7     2.09762    0.160985     0.13834  0.00379601
           7     2.23746   0.0844432    0.086376  0.00164826
           7      2.3773   0.0459075   0.0513905   0.0016005
           7     2.51714   0.0205039   0.0301047  0.00328043
           7     2.65698   0.0109913    0.017972  0.00203784
           7     2.79682  0.00456867  0.00973642  0.00139142
           7     2.93666  0.00139047  0.00537584  0.00127139
           7     3.07651           0  0.00260121 0.000664247
           7     3.21635           0  0.00110039 0.000413136
           7     3.35619           0 0.000280616 0.000132928
           7     3.49603           0 0.000334216 0.000160798
