#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.575646    0.575646           0
           2    0.570606    0.573126  0.00178184
           3    0.560718     0.56899  0.00357981
           4    0.561986    0.567239  0.00308346
           5    0.566494     0.56709  0.00247036
           6     0.56153    0.566163  0.00222568
           7     0.55762    0.564943  0.00221721
           8     0.55643    0.563879  0.00218053
           9    0.564429     0.56394  0.00193911
          10    0.563246     0.56387  0.00174644
          11    0.563585    0.563844  0.00158786
          12    0.554082    0.563031  0.00165084
          13    0.552157    0.562194  0.00172278
          14    0.556318    0.561775  0.00165007
          15    0.564254     0.56194  0.00154832
          16    0.559986    0.561818  0.00145636
          17     0.55628    0.561492  0.00140666
          18    0.556478    0.561214   0.0013558
          19    0.562516    0.561282  0.00128618
          20    0.557393    0.561088  0.00123648
