#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.0292      2.0292           0
           2     2.01762     2.02341   0.0040946
           3     1.99235     2.01306  0.00888212
           4     1.92935     1.99213    0.019308
           5     1.97002     1.98771   0.0159446
           6     1.99964      1.9897   0.0134105
           7     1.99995     1.99116   0.0115745
           8     1.95569     1.98673   0.0109439
           9     1.98646      1.9867  0.00972795
          10     1.98721     1.98675  0.00875529
          11     1.95963     1.98428  0.00829912
          12     1.97889     1.98384  0.00761968
          13     2.02051     1.98666  0.00753769
          14     2.01357     1.98858  0.00724026
          15     2.02739     1.99117  0.00720511
          16     2.05197     1.99497  0.00769194
          17     2.05292     1.99838  0.00795906
          18     2.07365     2.00256  0.00854514
          19     1.99796     2.00232  0.00809881
          20     1.96517     2.00046  0.00790393
