#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.432202   -0.432202           0
           2   -0.420368   -0.426285  0.00418396
           3   -0.395087   -0.415886  0.00893744
           4   -0.332058   -0.394929   0.0193476
           5   -0.372774   -0.390498   0.0159774
           6   -0.402396   -0.392481    0.013437
           7   -0.402698    -0.39394   0.0115964
           8   -0.358448   -0.389504   0.0109627
           9   -0.389358   -0.389488  0.00974468
          10   -0.389955   -0.389534  0.00877032
          11    -0.36236   -0.387064  0.00831368
          12   -0.381545   -0.386604  0.00763358
          13   -0.423311   -0.389428  0.00755057
          14   -0.416396   -0.391354  0.00725281
          15   -0.430051   -0.393934  0.00721353
          16   -0.454916   -0.397745  0.00770407
          17   -0.455875   -0.401165  0.00797371
          18   -0.476477   -0.405349  0.00855836
          19   -0.400727   -0.405105  0.00811138
          20   -0.367864   -0.403243  0.00791666
