#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       1.597       1.597           0
           2     1.59725     1.59712 8.93569e-05
           3     1.59727     1.59717   7.108e-05
           4     1.59729      1.5972 5.97089e-05
           5     1.59725     1.59721 4.85321e-05
           6     1.59724     1.59722 4.06974e-05
           7     1.59726     1.59722 3.52775e-05
           8     1.59725     1.59723  3.1003e-05
           9      1.5971     1.59721 3.03028e-05
          10     1.59725     1.59722 2.75226e-05
          11     1.59727     1.59722 2.55396e-05
          12     1.59735     1.59723 2.55057e-05
          13      1.5972     1.59723 2.36767e-05
          14     1.59717     1.59723 2.23254e-05
          15     1.59734     1.59723 2.21186e-05
          16     1.59705     1.59722 2.34104e-05
          17     1.59704     1.59721 2.43041e-05
          18     1.59717     1.59721 2.30601e-05
          19     1.59724     1.59721 2.18949e-05
          20     1.59731     1.59722 2.13606e-05
