#     T:    M_AVE:      ERROR: 
           2   0.0270321 0.000294311
         1.9   0.0305613  0.00036534
         1.8    0.033042 0.000352085
         1.7   0.0378801  0.00047356
         1.6   0.0433644 0.000431789
         1.5   0.0508249 0.000430913
         1.4   0.0588173 0.000744336
         1.3   0.0711249 0.000681619
         1.2   0.0881797 0.000821457
         1.1    0.110578  0.00104673
           1    0.143094  0.00104402
         0.9     0.20109  0.00223915
         0.8     0.29406  0.00260173
         0.7    0.446635  0.00343199
         0.6    0.676147  0.00471993
         0.5    0.883539  0.00537328
