#     T:    C_AVE:      ERROR: 
           2    0.196635 0.000130822
         1.9    0.212709  0.00020063
         1.8    0.229853 0.000162784
         1.7    0.249553 0.000239942
         1.6    0.270209  0.00020538
         1.5    0.293393 0.000226062
         1.4    0.317811 0.000221424
         1.3    0.344085 0.000315337
         1.2    0.370632 0.000435507
         1.1    0.397268  0.00042071
           1     0.42056 0.000579173
         0.9    0.435282 0.000799459
         0.8     0.44033 0.000782782
         0.7    0.432669  0.00165396
         0.6    0.420918  0.00165547
         0.5    0.327838  0.00322689
