#     T:    CHI_AVE:      ERROR: 
           2     1.36032  0.00182087
         1.9     1.50602  0.00214556
         1.8     1.68722  0.00221343
         1.7     1.90155    0.003358
         1.6     2.19017  0.00361061
         1.5     2.53064  0.00522066
         1.4     2.97699  0.00607809
         1.3     3.58828  0.00664817
         1.2     4.40792  0.00929603
         1.1     5.57527   0.0140661
           1     7.37896   0.0202151
         0.9     10.2499   0.0378443
         0.8     15.2827   0.0558393
         0.7     24.6333    0.158768
         0.6     44.0462    0.277632
         0.5     79.1025    0.333001
