#     T:    TE_AVE:      ERROR: 
           2   -0.462086 8.75099e-05
         1.9   -0.482604 7.31185e-05
         1.8   -0.504794 9.19816e-05
         1.7   -0.528649 0.000106902
         1.6   -0.554684 9.55459e-05
         1.5   -0.582782 0.000101953
         1.4    -0.61326 0.000115311
         1.3   -0.646592 8.70599e-05
         1.2   -0.682262 0.000116888
         1.1   -0.720626 0.000126218
           1   -0.761718 0.000120676
         0.9   -0.804417  0.00017333
         0.8   -0.848595 0.000177707
         0.7   -0.891837 0.000245148
         0.6   -0.934948  0.00033315
         0.5   -0.974187 0.000344752
