#     T:    M_AVE:      ERROR: 
           2   0.0272493 0.000244884
         1.9   0.0301677 0.000314421
         1.8    0.033621 0.000221764
         1.7    0.038106 0.000298057
         1.6   0.0431381 0.000344788
         1.5   0.0505364 0.000447566
         1.4   0.0590944 0.000422792
         1.3   0.0716305  0.00050654
         1.2   0.0877967  0.00068461
         1.1    0.112089 0.000823772
           1    0.145392 0.000993013
         0.9    0.203413  0.00148368
         0.8     0.28703  0.00233958
         0.7    0.444071  0.00351152
         0.6    0.674173  0.00370226
         0.5    0.893777  0.00368989
