#     T:    C_AVE:      ERROR: 
           2    0.196681 0.000139742
         1.9     0.21262 0.000173584
         1.8    0.229852 0.000153416
         1.7    0.249196  0.00018747
         1.6    0.270103 0.000225766
         1.5    0.293443 0.000301347
         1.4    0.318189 0.000246167
         1.3    0.344882 0.000376099
         1.2    0.369843 0.000396893
         1.1    0.397852 0.000493664
           1    0.419776 0.000535826
         0.9     0.43655 0.000661353
         0.8    0.440083 0.000774492
         0.7    0.434374  0.00111525
         0.6    0.423318  0.00121529
         0.5    0.326638  0.00195769
