#     T:    CHI_AVE:      ERROR: 
           2     1.36138  0.00131099
         1.9     1.50867  0.00178796
         1.8     1.68647  0.00220858
         1.7     1.90688  0.00223343
         1.6     2.17928  0.00286272
         1.5     2.52663  0.00327095
         1.4     2.97716  0.00487812
         1.3     3.59777  0.00583542
         1.2     4.41124  0.00931397
         1.1      5.6114   0.0119614
           1      7.3845   0.0146955
         0.9     10.2789   0.0326481
         0.8     15.1152   0.0523737
         0.7     24.6402   0.0888747
         0.6     44.5319    0.199473
         0.5     79.4029    0.229468
