#     T:    TE_AVE:      ERROR: 
           2   -0.462125 6.95585e-05
         1.9   -0.482473 0.000100705
         1.8   -0.504697 8.38036e-05
         1.7   -0.528745 9.57193e-05
         1.6   -0.554532 9.46789e-05
         1.5   -0.582789 9.48836e-05
         1.4   -0.613396  0.00010944
         1.3   -0.646636 8.63088e-05
         1.2   -0.682375 0.000116247
         1.1   -0.720721   0.0001343
           1   -0.761605 0.000109952
         0.9   -0.804559 0.000112132
         0.8   -0.848132 0.000136065
         0.7   -0.891805 0.000166549
         0.6   -0.935431  0.00026019
         0.5   -0.974446 0.000234437
