#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65393    -6.65393           0
           2    -6.50404    -6.57898   0.0529954
           3    -6.40611    -6.52136   0.0588373
           4    -6.25332    -6.45435   0.0729046
           5    -6.19523    -6.40253   0.0745003
           6    -6.16209    -6.36245   0.0720591
           7    -6.10834    -6.32615   0.0703171
           8    -6.10391    -6.29837   0.0667898
           9    -6.03277    -6.26886   0.0655651
          10    -5.99533    -6.24151   0.0644622
          11    -5.96176    -6.21608   0.0634204
          12    -5.95727    -6.19451   0.0616937
          13    -6.05693    -6.18393   0.0578485
          14    -5.96277    -6.16813   0.0558316
          15    -5.87756    -6.14876   0.0553681
          16    -5.85516    -6.13041   0.0548641
          17    -5.82412    -6.11239   0.0545149
          18    -5.88503    -6.09976   0.0529293
          19    -5.84786     -6.0865   0.0517774
          20    -5.83227    -6.07379   0.0507249
          21    -5.88898    -6.06499   0.0490669
          22    -5.80235    -6.05305   0.0482671
          23    -5.82497    -6.04314   0.0471762
          24    -5.91133    -6.03764    0.045529
          25    -5.95637    -6.03439   0.0438238
          26    -5.87607     -6.0283   0.0425592
          27    -5.82687    -6.02084   0.0416317
          28     -5.8423    -6.01447   0.0406303
          29    -5.78794    -6.00666   0.0399731
          30    -5.76699    -5.99867   0.0394308
          31     -5.7321    -5.99007   0.0390852
          32     -5.7155    -5.98149   0.0387942
          33    -5.74321    -5.97427   0.0382847
          34    -5.81765    -5.96966   0.0374348
          35    -5.79489    -5.96467   0.0366968
          36    -5.79568    -5.95997   0.0359764
          37     -5.8042    -5.95576   0.0352495
          38    -5.74741    -5.95028   0.0347457
          39     -5.7597    -5.94539   0.0341967
          40    -5.74548     -5.9404    0.033705
          41     -5.7408    -5.93553   0.0332326
          42    -5.71302    -5.93023   0.0328609
          43    -5.66722    -5.92411    0.032661
          44    -5.69632    -5.91894   0.0323264
          45    -5.66904    -5.91338   0.0320815
          46     -5.6976    -5.90869   0.0317252
          47    -5.71599    -5.90459    0.031314
          48    -5.71852    -5.90071   0.0309007
          49    -5.70287    -5.89668   0.0305327
