#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79357    -6.79357           0
           2    -6.79325    -6.79341 0.000114397
           3    -6.79271    -6.79318 0.000205357
           4    -6.79195    -6.79287  0.00030606
           5    -6.79098    -6.79249 0.000417129
           6    -6.78979    -6.79204 0.000538262
           7    -6.78838    -6.79152 0.000669105
           8    -6.78674    -6.79092 0.000809378
           9    -6.78487    -6.79025 0.000958894
          10    -6.78276     -6.7895  0.00111754
          11    -6.78042    -6.78867  0.00128529
          12    -6.77782    -6.78777  0.00146216
          13    -6.77467    -6.78676  0.00166104
          14    -6.77156    -6.78568  0.00186395
          15    -6.76802     -6.7845  0.00207842
          16     -6.7639    -6.78321  0.00231314
          17    -6.75949    -6.78182  0.00256367
          18    -6.75493    -6.78032  0.00282312
          19    -6.75005    -6.77873  0.00309169
          20    -6.74469    -6.77703  0.00337329
          21    -6.73928    -6.77523  0.00366032
          22    -6.73292    -6.77331  0.00396721
          23    -6.72632    -6.77126  0.00428848
          24     -6.7195    -6.76911  0.00462052
          25    -6.71196    -6.76682  0.00496915
          26    -6.70399     -6.7644  0.00533338
          27    -6.69588    -6.76187  0.00570787
          28     -6.6867    -6.75918  0.00610276
          29    -6.67749    -6.75636  0.00651007
          30    -6.66733     -6.7534   0.0069367
          31    -6.65724    -6.75029   0.0073739
          32      -6.646    -6.74704  0.00783066
          33    -6.63449    -6.74363  0.00830283
          34    -6.62254    -6.74006  0.00878923
          35    -6.61058    -6.73636  0.00928412
          36    -6.59768    -6.73251  0.00979294
          37    -6.58351    -6.72849   0.0103231
          38    -6.56913    -6.72429   0.0108699
          39    -6.55344    -6.71991     0.01144
          40    -6.53733    -6.71535   0.0120301
          41    -6.52035    -6.71059    0.012642
          42    -6.50291    -6.70565   0.0132728
          43    -6.48501    -6.70051   0.0139206
          44    -6.46619    -6.69519   0.0145874
          45     -6.4466    -6.68966   0.0152735
          46    -6.42666    -6.68395   0.0159758
          47     -6.4067    -6.67805   0.0166894
          48    -6.38491    -6.67194   0.0174233
          49    -6.36264    -6.66563   0.0181752
          50    -6.33932     -6.6591   0.0189472
          51    -6.31587    -6.65237   0.0197348
          52     -6.2911    -6.64543   0.0205418
          53     -6.2655    -6.63826   0.0213684
          54    -6.23956    -6.63087   0.0222117
          55    -6.21331    -6.62328   0.0230689
          56    -6.18681    -6.61549   0.0239374
          57    -6.15935    -6.60748   0.0248191
          58    -6.13174    -6.59928   0.0257109
          59    -6.10329    -6.59088    0.026614
          60    -6.07481    -6.58227   0.0275252
          61    -6.04576    -6.57348   0.0284445
          62    -6.01652     -6.5645     0.02937
          63    -5.98775    -6.55534    0.030297
          64    -5.95891    -6.54602    0.031224
          65    -5.92978    -6.53654   0.0321507
          66    -5.90072    -6.52691   0.0330754
          67     -5.8712    -6.51712   0.0339989
          68    -5.84262     -6.5072   0.0349158
          69    -5.81401    -6.49716    0.035826
          70    -5.78587    -6.48699   0.0367269
          71    -5.75827    -6.47673   0.0376164
          72     -5.7311    -6.46637   0.0384931
          73    -5.70382    -6.45593   0.0393577
          74    -5.67708     -6.4454   0.0402085
          75     -5.6517    -6.43482   0.0410415
          76    -5.62696    -6.42419   0.0418554
          77    -5.60293    -6.41353   0.0426491
          78    -5.57904    -6.40283   0.0434235
          79    -5.55655    -6.39211   0.0441754
          80    -5.53445    -6.38139   0.0449052
          81     -5.5134    -6.37068   0.0456115
          82    -5.49344    -6.35998   0.0462929
          83    -5.47415    -6.34931   0.0469493
          84    -5.45544    -6.33867   0.0475811
          85    -5.43854    -6.32808   0.0481853
          86     -5.4229    -6.31755    0.048761
          87    -5.40794     -6.3071   0.0493087
          88    -5.39429    -6.29672   0.0498275
          89    -5.38167    -6.28644   0.0503172
          90    -5.37087    -6.27627   0.0507761
          91    -5.36098    -6.26621   0.0512046
          92     -5.3523    -6.25628   0.0516026
          93    -5.34454    -6.24647   0.0519707
          94    -5.33828    -6.23681   0.0523081
          95     -5.3329     -6.2273   0.0526158
          96    -5.32835    -6.21793   0.0528944
          97    -5.32536    -6.20873   0.0531435
          98    -5.32326     -6.1997   0.0533638
          99    -5.32185    -6.19083   0.0535564
         100    -5.32197    -6.18214    0.053721
         101    -5.32278    -6.17363   0.0538586
         102    -5.32452    -6.16531   0.0539701
         103    -5.32648    -6.15716   0.0540571
         104     -5.3295     -6.1492     0.05412
         105    -5.33243    -6.14143   0.0541607
         106    -5.33625    -6.13383   0.0541798
         107    -5.34026    -6.12641   0.0541787
         108     -5.3447    -6.11917   0.0541583
         109    -5.34932    -6.11211   0.0541201
         110    -5.35437    -6.10522   0.0540647
         111    -5.35932     -6.0985   0.0539936
         112    -5.36412    -6.09195   0.0539082
         113    -5.36887    -6.08555   0.0538096
         114    -5.37338     -6.0793    0.053699
         115    -5.37761     -6.0732   0.0535776
         116    -5.38167    -6.06724   0.0534463
         117    -5.38601    -6.06141   0.0533057
         118    -5.38999    -6.05572   0.0531568
         119    -5.39407    -6.05016   0.0530001
         120    -5.39718    -6.04472    0.052837
         121    -5.40052     -6.0394   0.0526679
         122    -5.40319    -6.03418   0.0524937
         123     -5.4058    -6.02908    0.052315
         124    -5.40898    -6.02407   0.0521315
         125    -5.41166    -6.01918   0.0519442
         126    -5.41417    -6.01437   0.0517534
         127    -5.41607    -6.00966   0.0515599
         128    -5.41798    -6.00504   0.0513638
         129    -5.41946     -6.0005   0.0511659
         130    -5.42114    -5.99604    0.050966
         131    -5.42272    -5.99167   0.0507645
         132    -5.42483    -5.98737   0.0505612
         133    -5.42597    -5.98315    0.050357
         134    -5.42736      -5.979   0.0501517
         135    -5.42841    -5.97493   0.0499458
         136    -5.42912    -5.97091   0.0497395
         137    -5.43102    -5.96697   0.0495323
         138    -5.43183    -5.96309   0.0493249
         139    -5.43292    -5.95928   0.0491173
         140    -5.43445    -5.95553   0.0489093
         141    -5.43566    -5.95184   0.0487012
         142    -5.43684    -5.94822   0.0484931
         143    -5.43829    -5.94465   0.0482849
         144    -5.43912    -5.94114   0.0480771
         145    -5.44006    -5.93769   0.0478696
         146    -5.44096    -5.93428   0.0476624
         147    -5.44243    -5.93094   0.0474555
         148    -5.44279    -5.92764   0.0472493
         149    -5.44401    -5.92439   0.0470436
         150    -5.44503     -5.9212   0.0468384
         151    -5.44585    -5.91805   0.0466339
         152    -5.44663    -5.91495   0.0464301
         153    -5.44736    -5.91189   0.0462271
         154     -5.4479    -5.90888    0.046025
         155    -5.44872    -5.90591   0.0458237
         156    -5.44906    -5.90298   0.0456234
         157    -5.44986     -5.9001    0.045424
         158    -5.45081    -5.89725   0.0452255
         159    -5.45133    -5.89445   0.0450279
         160    -5.45204    -5.89168   0.0448313
         161    -5.45339    -5.88896   0.0446354
         162     -5.4548    -5.88628   0.0444403
         163    -5.45568    -5.88364   0.0442461
         164    -5.45708    -5.88104   0.0440527
         165    -5.45826    -5.87847   0.0438601
         166    -5.45906    -5.87595   0.0436686
         167    -5.46039    -5.87346    0.043478
         168    -5.46225    -5.87101    0.043288
         169    -5.46355     -5.8686    0.043099
         170    -5.46474    -5.86623   0.0429109
         171     -5.4658    -5.86388   0.0427238
         172    -5.46747    -5.86158   0.0425375
         173    -5.46881    -5.85931   0.0423522
         174    -5.46965    -5.85707   0.0421679
         175    -5.47056    -5.85486   0.0419848
         176    -5.47212    -5.85269   0.0418025
         177    -5.47311    -5.85054   0.0416213
         178    -5.47409    -5.84843   0.0414412
         179    -5.47459    -5.84634   0.0412622
         180    -5.47445    -5.84427   0.0410847
         181    -5.47456    -5.84223   0.0409085
         182    -5.47474    -5.84021   0.0407335
         183    -5.47441    -5.83821   0.0405599
         184    -5.47369    -5.83623   0.0403878
         185    -5.47274    -5.83427   0.0402173
         186    -5.47217    -5.83232   0.0400482
         187    -5.47078    -5.83039   0.0398806
         188    -5.46935    -5.82846   0.0397147
         189    -5.46742    -5.82655   0.0395505
         190    -5.46563    -5.82466   0.0393879
         191    -5.46354    -5.82276   0.0392271
         192    -5.46178    -5.82088   0.0390678
