#   N_BLOCK:  ACCEPTANCE:
           1    0.514662
           2    0.514049
           3    0.513576
           4    0.512559
           5     0.51162
           6    0.511742
           7    0.512162
           8    0.511953
           9     0.51206
          10    0.511899
          11    0.511823
          12    0.511681
          13    0.511624
          14    0.511234
          15    0.511198
          16    0.511397
          17    0.511452
          18    0.511514
          19    0.511302
          20    0.511246
          21    0.511248
          22    0.511221
          23    0.511235
          24    0.510908
          25    0.510842
          26    0.510753
          27    0.510891
          28    0.510838
          29    0.510969
          30    0.510879
