# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 3.24205e-06 3.18756e-06
    0.872088  0.00117994 0.000100154
    0.897737   0.0242629 0.000430273
    0.923387    0.164256   0.0014392
    0.949037    0.562547  0.00324765
    0.974686     1.20124  0.00439235
     1.00034     1.86133   0.0054818
     1.02599      2.3318   0.0054887
     1.05164     2.55385  0.00343141
     1.07728     2.54485  0.00344084
     1.10293      2.4036  0.00434027
     1.12858     2.20119   0.0037715
     1.15423     1.97266  0.00375233
     1.17988     1.75961  0.00368354
     1.20553     1.56331  0.00358908
     1.23118     1.39306  0.00301537
     1.25683     1.24402  0.00281904
     1.28248       1.123  0.00304154
     1.30813     1.02533  0.00225112
     1.33378    0.943177  0.00234592
     1.35943    0.872583  0.00187623
     1.38508    0.817161  0.00161838
     1.41073    0.777469  0.00162124
     1.43638    0.738494  0.00202984
     1.46203    0.711859    0.001627
     1.48768    0.691344  0.00210624
     1.51333     0.67844  0.00219993
     1.53898     0.67284  0.00196721
     1.56463      0.6709  0.00199191
     1.59028    0.675702  0.00153027
     1.61593    0.687045  0.00175124
     1.64158    0.701624  0.00219667
     1.66723    0.722425  0.00229069
     1.69288    0.749813  0.00213188
     1.71853    0.778317  0.00183682
     1.74418    0.812798  0.00166874
     1.76983    0.850005  0.00177393
     1.79547    0.893239  0.00147863
     1.82112    0.934723  0.00187319
     1.84677    0.974055  0.00181789
     1.87242     1.01748  0.00211347
     1.89807      1.0572  0.00205856
     1.92372     1.09287  0.00242587
     1.94937     1.12931  0.00214776
     1.97502     1.16002  0.00165246
     2.00067     1.18351  0.00156317
     2.02632     1.20288  0.00201574
     2.05197     1.21565  0.00140241
     2.07762     1.21521  0.00156454
     2.10327     1.21043  0.00170448
     2.12892      1.1966  0.00174142
     2.15457     1.17724  0.00219158
     2.18022     1.15094  0.00154726
     2.20587     1.12652   0.0019061
     2.23152     1.09786  0.00201048
     2.25717     1.06699  0.00158946
     2.28282     1.04021  0.00182859
     2.30847     1.01318  0.00173496
     2.33412     0.99019  0.00201933
     2.35977    0.967482  0.00193366
     2.38542    0.949757   0.0016705
     2.41107    0.931946  0.00134698
     2.43672    0.918008  0.00136997
     2.46237    0.908448  0.00144659
     2.48802    0.895381  0.00131575
     2.51366    0.886755  0.00126071
     2.53931    0.886827  0.00134036

