# BLOCK:    DISTANCE:    GOFR_ISTANT:      CUM_AVE_GOFR:        ERROR:
           1           0           0           0           0
           1   0.0256496           0           0           0
           1   0.0512993           0           0           0
           1   0.0769489           0           0           0
           1    0.102599           0           0           0
           1    0.128248           0           0           0
           1    0.153898           0           0           0
           1    0.179547           0           0           0
           1    0.205197           0           0           0
           1    0.230847           0           0           0
           1    0.256496           0           0           0
           1    0.282146           0           0           0
           1    0.307796           0           0           0
           1    0.333445           0           0           0
           1    0.359095           0           0           0
           1    0.384745           0           0           0
           1    0.410394           0           0           0
           1    0.436044           0           0           0
           1    0.461694           0           0           0
           1    0.487343           0           0           0
           1    0.512993           0           0           0
           1    0.538642           0           0           0
           1    0.564292           0           0           0
           1    0.589942           0           0           0
           1    0.615591           0           0           0
           1    0.641241           0           0           0
           1    0.666891           0           0           0
           1     0.69254           0           0           0
           1     0.71819           0           0           0
           1     0.74384           0           0           0
           1    0.769489           0           0           0
           1    0.795139           0           0           0
           1    0.820788           0           0           0
           1    0.846438           0           0           0
           1    0.872088  0.00201751  0.00201751           0
           1    0.897737   0.0237316   0.0237316           0
           1    0.923387    0.183936    0.183936           0
           1    0.949037    0.593251    0.593251           0
           1    0.974686     1.24791     1.24791           0
           1     1.00034     1.85602     1.85602           0
           1     1.02599     2.37048     2.37048           0
           1     1.05164     2.54549     2.54549           0
           1     1.07728     2.54822     2.54822           0
           1     1.10293     2.38131     2.38131           0
           1     1.12858     2.17897     2.17897           0
           1     1.15423     1.96546     1.96546           0
           1     1.17988     1.76153     1.76153           0
           1     1.20553     1.59182     1.59182           0
           1     1.23118     1.37335     1.37335           0
           1     1.25683     1.25129     1.25129           0
           1     1.28248     1.12634     1.12634           0
           1     1.30813     1.01717     1.01717           0
           1     1.33378    0.935587    0.935587           0
           1     1.35943    0.857655    0.857655           0
           1     1.38508    0.819709    0.819709           0
           1     1.41073    0.762228    0.762228           0
           1     1.43638    0.721125    0.721125           0
           1     1.46203    0.702138    0.702138           0
           1     1.48768    0.673777    0.673777           0
           1     1.51333     0.67167     0.67167           0
           1     1.53898    0.667096    0.667096           0
           1     1.56463    0.653112    0.653112           0
           1     1.59028     0.67125     0.67125           0
           1     1.61593    0.693806    0.693806           0
           1     1.64158    0.685395    0.685395           0
           1     1.66723    0.708389    0.708389           0
           1     1.69288    0.747054    0.747054           0
           1     1.71853    0.782941    0.782941           0
           1     1.74418    0.830993    0.830993           0
           1     1.76983    0.853105    0.853105           0
           1     1.79547    0.906427    0.906427           0
           1     1.82112    0.951242    0.951242           0
           1     1.84677    0.979074    0.979074           0
           1     1.87242     1.03778     1.03778           0
           1     1.89807     1.08665     1.08665           0
           1     1.92372     1.10932     1.10932           0
           1     1.94937     1.14481     1.14481           0
           1     1.97502     1.17639     1.17639           0
           1     2.00067     1.19804     1.19804           0
           1     2.02632     1.22201     1.22201           0
           1     2.05197     1.22615     1.22615           0
           1     2.07762     1.22402     1.22402           0
           1     2.10327     1.21276     1.21276           0
           1     2.12892     1.20424     1.20424           0
           1     2.15457     1.18778     1.18778           0
           1     2.18022      1.1386      1.1386           0
           1     2.20587     1.11873     1.11873           0
           1     2.23152     1.08914     1.08914           0
           1     2.25717      1.0412      1.0412           0
           1     2.28282     1.01746     1.01746           0
           1     2.30847    0.998351    0.998351           0
           1     2.33412    0.976506    0.976506           0
           1     2.35977    0.939508    0.939508           0
           1     2.38542    0.931306    0.931306           0
           1     2.41107    0.925831    0.925831           0
           1     2.43672     0.90488     0.90488           0
           1     2.46237     0.89614     0.89614           0
           1     2.48802    0.893561    0.893561           0
           1     2.51366    0.875847    0.875847           0
           1     2.53931    0.868607    0.868607           0
           2           0           0           0           0
           2   0.0256496           0           0           0
           2   0.0512993           0           0           0
           2   0.0769489           0           0           0
           2    0.102599           0           0           0
           2    0.128248           0           0           0
           2    0.153898           0           0           0
           2    0.179547           0           0           0
           2    0.205197           0           0           0
           2    0.230847           0           0           0
           2    0.256496           0           0           0
           2    0.282146           0           0           0
           2    0.307796           0           0           0
           2    0.333445           0           0           0
           2    0.359095           0           0           0
           2    0.384745           0           0           0
           2    0.410394           0           0           0
           2    0.436044           0           0           0
           2    0.461694           0           0           0
           2    0.487343           0           0           0
           2    0.512993           0           0           0
           2    0.538642           0           0           0
           2    0.564292           0           0           0
           2    0.589942           0           0           0
           2    0.615591           0           0           0
           2    0.641241           0           0           0
           2    0.666891           0           0           0
           2     0.69254           0           0           0
           2     0.71819           0           0           0
           2     0.74384           0           0           0
           2    0.769489           0           0           0
           2    0.795139           0           0           0
           2    0.820788           0           0           0
           2    0.846438           0           0           0
           2    0.872088   0.0018341  0.00192581 6.48454e-05
           2    0.897737   0.0209601   0.0223459 0.000979901
           2    0.923387    0.160749    0.172342  0.00819768
           2    0.949037    0.558554    0.575903    0.012267
           2    0.974686     1.19791     1.22291   0.0176783
           2     1.00034     1.84832     1.85217  0.00272078
           2     1.02599     2.29096     2.33072    0.028116
           2     1.05164     2.54251       2.544  0.00105317
           2     1.07728     2.54472     2.54647  0.00123922
           2     1.10293     2.38021     2.38076 0.000387502
           2     1.12858     2.23442      2.2067   0.0196055
           2     1.15423     1.97574      1.9706  0.00363506
           2     1.17988     1.77622     1.76888  0.00519383
           2     1.20553     1.55718      1.5745   0.0122469
           2     1.23118     1.38282     1.37809  0.00334695
           2     1.25683      1.2712     1.26125  0.00704044
           2     1.28248     1.13772     1.13203  0.00402534
           2     1.30813     1.04294     1.03006  0.00910886
           2     1.33378    0.944815    0.940201  0.00326243
           2     1.35943    0.874549    0.866102  0.00597312
           2     1.38508    0.810521    0.815115  0.00324827
           2     1.41073    0.786964    0.774596  0.00874531
           2     1.43638    0.741641    0.731383  0.00725372
           2     1.46203    0.712901    0.707519   0.0038053
           2     1.48768    0.704238    0.689008   0.0107696
           2     1.51333    0.685021    0.678346  0.00472021
           2     1.53898     0.66814    0.667618 0.000369033
           2     1.56463    0.668869     0.66099  0.00557122
           2     1.59028    0.676168    0.673709  0.00173885
           2     1.61593    0.683816    0.688811  0.00353173
           2     1.64158    0.688596    0.686995  0.00113175
           2     1.66723    0.723757    0.716073   0.0054333
           2     1.69288    0.752089    0.749571  0.00178031
           2     1.71853     0.75872    0.770831  0.00856354
           2     1.74418    0.812824    0.821909  0.00642362
           2     1.76983    0.840472    0.846789  0.00446635
           2     1.79547    0.885035    0.895731  0.00756295
           2     1.82112    0.936744    0.943993  0.00512588
           2     1.84677     0.98059    0.979832 0.000535991
           2     1.87242     1.02814     1.03296  0.00340765
           2     1.89807     1.05324     1.06995   0.0118139
           2     1.92372     1.07581     1.09257   0.0118483
           2     1.94937     1.12339      1.1341   0.0075706
           2     1.97502     1.16089     1.16864  0.00548097
           2     2.00067     1.17518     1.18661  0.00807908
           2     2.02632     1.21094     1.21647  0.00391413
           2     2.05197     1.21747     1.22181   0.0030671
           2     2.07762     1.21527     1.21965  0.00309107
           2     2.10327     1.20724        1.21  0.00195058
           2     2.12892     1.20047     1.20235    0.001334
           2     2.15457     1.18061      1.1842  0.00253497
           2     2.18022     1.15035     1.14448  0.00415485
           2     2.20587     1.13656     1.12764  0.00630306
           2     2.23152     1.09683     1.09298  0.00271697
           2     2.25717     1.07111     1.05615   0.0105744
           2     2.28282     1.04394      1.0307  0.00936138
           2     2.30847     1.00992     1.00414  0.00409012
           2     2.33412    0.994537    0.985521  0.00637519
           2     2.35977    0.965126    0.952317  0.00905719
           2     2.38542    0.952895    0.942101  0.00763282
           2     2.41107    0.926515    0.926173 0.000242013
           2     2.43672     0.91327    0.909075  0.00296637
           2     2.46237    0.911074    0.903607  0.00527993
           2     2.48802    0.893365    0.893463 6.90166e-05
           2     2.51366    0.896459    0.886153   0.0072873
           2     2.53931    0.890427    0.879517   0.0077146
           3           0           0           0           0
           3   0.0256496           0           0           0
           3   0.0512993           0           0           0
           3   0.0769489           0           0           0
           3    0.102599           0           0           0
           3    0.128248           0           0           0
           3    0.153898           0           0           0
           3    0.179547           0           0           0
           3    0.205197           0           0           0
           3    0.230847           0           0           0
           3    0.256496           0           0           0
           3    0.282146           0           0           0
           3    0.307796           0           0           0
           3    0.333445           0           0           0
           3    0.359095           0           0           0
           3    0.384745           0           0           0
           3    0.410394           0           0           0
           3    0.436044           0           0           0
           3    0.461694           0           0           0
           3    0.487343           0           0           0
           3    0.512993           0           0           0
           3    0.538642           0           0           0
           3    0.564292           0           0           0
           3    0.589942           0           0           0
           3    0.615591           0           0           0
           3    0.641241           0           0           0
           3    0.666891           0           0           0
           3     0.69254           0           0           0
           3     0.71819           0           0           0
           3     0.74384           0           0           0
           3    0.769489           0           0           0
           3    0.795139           0           0           0
           3    0.820788           0           0           0
           3    0.846438           0           0           0
           3    0.872088 0.000550231  0.00146728 0.000376873
           3    0.897737   0.0243379   0.0230099 0.000848946
           3    0.923387    0.154113    0.166266  0.00738133
           3    0.949037    0.546446    0.566084   0.0114522
           3    0.974686     1.19379      1.2132   0.0142033
           3     1.00034      1.8244     1.84291  0.00777366
           3     1.02599     2.29655     2.31933   0.0209245
           3     1.05164     2.57243     2.55348  0.00776823
           3     1.07728     2.54647     2.54647 0.000826145
           3     1.10293     2.40034     2.38729  0.00533639
           3     1.12858     2.23663     2.21667   0.0154011
           3     1.15423     1.99735     1.97952   0.0076753
           3     1.17988       1.784     1.77392  0.00537797
           3     1.20553     1.56676     1.57192  0.00843205
           3     1.23118     1.40291     1.38636  0.00711583
           3     1.25683     1.24924     1.25725  0.00571904
           3     1.28248     1.12993     1.13133   0.0027436
           3     1.30813     1.02619     1.02877  0.00616318
           3     1.33378     0.93634    0.938914  0.00241555
           3     1.35943     0.86799    0.866731  0.00401509
           3     1.38508    0.815189     0.81514  0.00216561
           3     1.41073    0.776439     0.77521  0.00585174
           3     1.43638    0.746497    0.736421  0.00634869
           3     1.46203    0.712868    0.709302  0.00292484
           3     1.48768    0.698274    0.692097  0.00760974
           3     1.51333     0.67944     0.67871  0.00316088
           3     1.53898    0.669214     0.66815 0.000499089
           3     1.56463    0.665954    0.662645  0.00395224
           3     1.59028    0.668512    0.671977  0.00182892
           3     1.61593     0.68184    0.686487  0.00302374
           3     1.64158    0.694447    0.689479  0.00216388
           3     1.66723    0.708313    0.713486  0.00419298
           3     1.69288    0.741623    0.746922  0.00246742
           3     1.71853    0.779228     0.77363  0.00614949
           3     1.74418     0.80638    0.816733  0.00601668
           3     1.76983    0.853693     0.84909  0.00352088
           3     1.79547    0.886111    0.892524  0.00568118
           3     1.82112    0.931022    0.939669  0.00491338
           3     1.84677    0.974567    0.978077   0.0014767
           3     1.87242     1.01147      1.0258  0.00627431
           3     1.89807     1.05387     1.06459  0.00900989
           3     1.92372     1.09452     1.09322  0.00791672
           3     1.94937     1.13958     1.13593  0.00526312
           3     1.97502     1.15255     1.16328  0.00570404
           3     2.00067     1.17887     1.18403  0.00578346
           3     2.02632     1.21054     1.21449  0.00306859
           3     2.05197     1.21902     1.22088  0.00218097
           3     2.07762     1.21455     1.21795  0.00248376
           3     2.10327     1.22142     1.21381  0.00336895
           3     2.12892     1.20414     1.20295  0.00101437
           3     2.15457     1.19544     1.18795  0.00349589
           3     2.18022     1.15707     1.14867  0.00440723
           3     2.20587     1.13393     1.12974  0.00453716
           3     2.23152     1.10743      1.0978  0.00432984
           3     2.25717     1.06893     1.06041  0.00786104
           3     2.28282     1.03947     1.03362  0.00668171
           3     2.30847     1.00783     1.00537  0.00290598
           3     2.33412    0.986806     0.98595  0.00426448
           3     2.35977    0.958874    0.954503  0.00629637
           3     2.38542    0.949287    0.944496  0.00545145
           3     2.41107    0.924193    0.925513 0.000562575
           3     2.43672    0.906208    0.908119  0.00212591
           3     2.46237    0.904896    0.904037  0.00353741
           3     2.48802    0.888095    0.891674  0.00146177
           3     2.51366    0.888099    0.886802    0.004887
           3     2.53931    0.879181    0.879405  0.00514388
           4           0           0           0           0
           4   0.0256496           0           0           0
           4   0.0512993           0           0           0
           4   0.0769489           0           0           0
           4    0.102599           0           0           0
           4    0.128248           0           0           0
           4    0.153898           0           0           0
           4    0.179547           0           0           0
           4    0.205197           0           0           0
           4    0.230847           0           0           0
           4    0.256496           0           0           0
           4    0.282146           0           0           0
           4    0.307796           0           0           0
           4    0.333445           0           0           0
           4    0.359095           0           0           0
           4    0.384745           0           0           0
           4    0.410394           0           0           0
           4    0.436044           0           0           0
           4    0.461694           0           0           0
           4    0.487343           0           0           0
           4    0.512993           0           0           0
           4    0.538642           0           0           0
           4    0.564292           0           0           0
           4    0.589942           0           0           0
           4    0.615591           0           0           0
           4    0.641241           0           0           0
           4    0.666891           0           0           0
           4     0.69254           0           0           0
           4     0.71819           0           0           0
           4     0.74384           0           0           0
           4    0.769489           0           0           0
           4    0.795139           0           0           0
           4    0.820788           0           0           0
           4    0.846438           0           0           0
           4    0.872088 0.000641936  0.00126095 0.000334402
           4    0.897737   0.0251174   0.0235368 0.000783331
           4    0.923387    0.171728    0.167631   0.0056609
           4    0.949037    0.565851    0.566025  0.00858932
           4    0.974686     1.20667     1.21157   0.0107459
           4     1.00034     1.86246      1.8478  0.00720366
           4     1.02599     2.35484     2.32821   0.0174758
           4     1.05164     2.56869     2.55728  0.00669253
           4     1.07728     2.51716     2.53914  0.00637584
           4     1.10293     2.42451     2.39659  0.00899874
           4     1.12858     2.20477      2.2137    0.011835
           4     1.15423     1.98549     1.98101  0.00590007
           4     1.17988     1.75749     1.76981  0.00537706
           4     1.20553     1.59192     1.57692  0.00766403
           4     1.23118     1.40185     1.39023  0.00630241
           4     1.25683     1.26109     1.25821  0.00436936
           4     1.28248     1.13541     1.13235  0.00223933
           4     1.30813     1.01565     1.02549  0.00542487
           4     1.33378    0.940181    0.939231  0.00183232
           4     1.35943    0.866503    0.866674  0.00301172
           4     1.38508    0.793396    0.809704  0.00497997
           4     1.41073    0.767792    0.773356  0.00467346
           4     1.43638    0.723587    0.733212    0.005513
           4     1.46203    0.695105    0.705753  0.00377616
           4     1.48768     0.67416    0.687612  0.00690316
           4     1.51333    0.649285    0.671354  0.00679752
