#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44155    -5.44155           0
           2    -5.47465     -5.4581   0.0117051
           3    -5.48643    -5.46754   0.0109706
           4    -5.46669    -5.46733     0.00823
           5    -5.46337    -5.46654  0.00662207
           6    -5.47201    -5.46745  0.00558094
           7    -5.49033    -5.47072  0.00566024
           8    -5.47911    -5.47177  0.00504892
           9     -5.4606    -5.47053  0.00463797
          10    -5.46843    -5.47032   0.0041789
          11    -5.47319    -5.47058  0.00380716
          12      -5.471    -5.47061  0.00349006
          13     -5.4626       -5.47  0.00327556
          14    -5.42401    -5.46671   0.0043899
          15    -5.45962    -5.46624  0.00412265
          16    -5.51062    -5.46901  0.00470658
          17    -5.45964    -5.46846  0.00446192
          18    -5.48956    -5.46963  0.00436526
          19    -5.43795    -5.46797  0.00444261
          20    -5.46003    -5.46757  0.00423818
          21    -5.47371    -5.46786  0.00404645
          22    -5.47323    -5.46811  0.00386987
          23    -5.46892    -5.46814  0.00370178
          24    -5.43999    -5.46697  0.00372872
          25    -5.45164    -5.46636  0.00362967
          26    -5.46615    -5.46635  0.00349007
          27    -5.46306    -5.46623  0.00336293
          28    -5.45366    -5.46578  0.00327265
          29    -5.48544    -5.46645  0.00322926
          30    -5.47055    -5.46659   0.0031245
