#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.67826     1.67826           0
           2     1.45982     1.56904   0.0772301
           3     1.42051     1.51953   0.0654601
           4     1.56372     1.53058   0.0500186
           5     1.57453     1.53937   0.0407799
           6     1.51699     1.53564   0.0341535
           7     1.41781     1.51881    0.033164
           8     1.42399     1.50696   0.0310643
           9     1.55466     1.51226   0.0280613
          10       1.479     1.50893   0.0254515
          11     1.47974     1.50628   0.0232756
          12     1.49314     1.50518   0.0213617
          13     1.53778     1.50769   0.0198651
          14     1.72998     1.52357   0.0239657
          15      1.5456     1.52504    0.022413
          16     1.31368     1.51183   0.0245988
          17     1.55005     1.51407   0.0232543
          18     1.38911     1.50713   0.0229754
          19     1.63312     1.51376   0.0227029
          20     1.53656      1.5149   0.0215964
          21      1.4584     1.51221   0.0207349
          22     1.49326     1.51135   0.0198103
          23     1.54034     1.51261    0.018989
          24     1.68421     1.51976   0.0194976
          25     1.61243     1.52347   0.0190667
          26     1.52266     1.52344   0.0183334
          27     1.51096     1.52297   0.0176602
          28     1.57231     1.52474   0.0171172
          29     1.40807     1.52071   0.0169931
          30     1.52792     1.52095   0.0164284
