# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088  0.00109129 0.000238526
    0.897737    0.024976  0.00134872
    0.923387    0.175486  0.00288827
    0.949037    0.586733  0.00514344
    0.974686     1.22845  0.00760696
     1.00034     1.89104   0.0112906
     1.02599     2.34321    0.012472
     1.05164     2.54556   0.0119139
     1.07728     2.54743   0.0112011
     1.10293     2.37948   0.0119345
     1.12858     2.17642   0.0124348
     1.15423     1.94486  0.00965254
     1.17988     1.74285   0.0105205
     1.20553     1.54561  0.00871532
     1.23118     1.36876   0.0082846
     1.25683     1.24975  0.00866767
     1.28248     1.12537  0.00879502
     1.30813     1.01986   0.0083149
     1.33378    0.942519  0.00755882
     1.35943    0.866383  0.00614764
     1.38508    0.805559  0.00733962
     1.41073    0.771009   0.0063839
     1.43638    0.747338  0.00576315
     1.46203    0.722694  0.00426657
     1.48768    0.699686  0.00527345
     1.51333    0.684779  0.00555564
     1.53898    0.675886  0.00458303
     1.56463    0.678935  0.00548894
     1.59028    0.683074  0.00500444
     1.61593     0.68915  0.00598615
     1.64158    0.702722  0.00513982
     1.66723    0.727462  0.00488953
     1.69288    0.756285   0.0050489
     1.71853    0.780627  0.00589097
     1.74418    0.818025  0.00455021
     1.76983     0.85037  0.00470708
     1.79547    0.880758  0.00396295
     1.82112    0.934386  0.00408235
     1.84677    0.984567  0.00480634
     1.87242     1.02564    0.005322
     1.89807     1.05842  0.00568914
     1.92372     1.09678  0.00522095
     1.94937     1.13506  0.00577339
     1.97502     1.15828  0.00485463
     2.00067     1.18363  0.00440886
     2.02632     1.20822  0.00669901
     2.05197     1.21997  0.00626406
     2.07762     1.21716  0.00555575
     2.10327     1.20649  0.00510809
     2.12892     1.18594  0.00401172
     2.15457     1.16486  0.00568137
     2.18022     1.14196  0.00542868
     2.20587     1.12372   0.0056351
     2.23152     1.08872  0.00396566
     2.25717     1.06384  0.00432108
     2.28282     1.03845  0.00416695
     2.30847     1.01362  0.00369945
     2.33412    0.983606  0.00404065
     2.35977    0.966261  0.00293715
     2.38542    0.942975  0.00382805
     2.41107    0.924648  0.00398985
     2.43672    0.909478  0.00340066
     2.46237     0.90083  0.00360142
     2.48802    0.897875  0.00330166
     2.51366    0.892719  0.00349097
     2.53931    0.890549  0.00325694

