# BLOCK:    DISTANCE:     GOFR_ISTANT:      CUM_AVE_GOFR:        ERROR:
           1           0           0           0           0
           1   0.0256496           0           0           0
           1   0.0512993           0           0           0
           1   0.0769489           0           0           0
           1    0.102599           0           0           0
           1    0.128248           0           0           0
           1    0.153898           0           0           0
           1    0.179547           0           0           0
           1    0.205197           0           0           0
           1    0.230847           0           0           0
           1    0.256496           0           0           0
           1    0.282146           0           0           0
           1    0.307796           0           0           0
           1    0.333445           0           0           0
           1    0.359095           0           0           0
           1    0.384745           0           0           0
           1    0.410394           0           0           0
           1    0.436044           0           0           0
           1    0.461694           0           0           0
           1    0.487343           0           0           0
           1    0.512993           0           0           0
           1    0.538642           0           0           0
           1    0.564292           0           0           0
           1    0.589942           0           0           0
           1    0.615591           0           0           0
           1    0.641241           0           0           0
           1    0.666891           0           0           0
           1     0.69254           0           0           0
           1     0.71819           0           0           0
           1     0.74384           0           0           0
           1    0.769489           0           0           0
           1    0.795139           0           0           0
           1    0.820788           0           0           0
           1    0.846438           0           0           0
           1    0.872088           0           0           0
           1    0.897737   0.0181885   0.0181885           0
           1    0.923387    0.148378    0.148378           0
           1    0.949037    0.575786    0.575786           0
           1    0.974686     1.26374     1.26374           0
           1     1.00034      1.8691      1.8691           0
           1     1.02599     2.36156     2.36156           0
           1     1.05164     2.57198     2.57198           0
           1     1.07728     2.63216     2.63216           0
           1     1.10293     2.45982     2.45982           0
           1     1.12858     2.21441     2.21441           0
           1     1.15423     1.89322     1.89322           0
           1     1.17988     1.67556     1.67556           0
           1     1.20553     1.52859     1.52859           0
           1     1.23118      1.3308      1.3308           0
           1     1.25683     1.19418     1.19418           0
           1     1.28248     1.13357     1.13357           0
           1     1.30813     1.00985     1.00985           0
           1     1.33378    0.900182    0.900182           0
           1     1.35943    0.859752    0.859752           0
           1     1.38508    0.825332    0.825332           0
           1     1.41073    0.769741    0.769741           0
           1     1.43638    0.764757    0.764757           0
           1     1.46203    0.735087    0.735087           0
           1     1.48768    0.714222    0.714222           0
           1     1.51333    0.733583    0.733583           0
           1     1.53898    0.725995    0.725995           0
           1     1.56463    0.685031    0.685031           0
           1     1.59028    0.669993    0.669993           0
           1     1.61593    0.675587    0.675587           0
           1     1.64158    0.699669    0.699669           0
           1     1.66723     0.74027     0.74027           0
           1     1.69288     0.73639     0.73639           0
           1     1.71853    0.725778    0.725778           0
           1     1.74418    0.757574    0.757574           0
           1     1.76983    0.837806    0.837806           0
           1     1.79547    0.878908    0.878908           0
           1     1.82112    0.957883    0.957883           0
           1     1.84677     1.01961     1.01961           0
           1     1.87242     1.02087     1.02087           0
           1     1.89807     1.07269     1.07269           0
           1     1.92372     1.12363     1.12363           0
           1     1.94937     1.09717     1.09717           0
           1     1.97502     1.13821     1.13821           0
           1     2.00067     1.18698     1.18698           0
           1     2.02632     1.23529     1.23529           0
           1     2.05197     1.22657     1.22657           0
           1     2.07762     1.24599     1.24599           0
           1     2.10327     1.22306     1.22306           0
           1     2.12892     1.21182     1.21182           0
           1     2.15457     1.13678     1.13678           0
           1     2.18022     1.12179     1.12179           0
           1     2.20587     1.10529     1.10529           0
           1     2.23152     1.06633     1.06633           0
           1     2.25717     1.04173     1.04173           0
           1     2.28282      1.0562      1.0562           0
           1     2.30847    0.981505    0.981505           0
           1     2.33412    0.990743    0.990743           0
           1     2.35977     0.95765     0.95765           0
           1     2.38542     0.94398     0.94398           0
           1     2.41107    0.962025    0.962025           0
           1     2.43672    0.911834    0.911834           0
           1     2.46237    0.910066    0.910066           0
           1     2.48802      0.8886      0.8886           0
           1     2.51366    0.904436    0.904436           0
           1     2.53931    0.897737    0.897737           0
           2           0           0           0           0
           2   0.0256496           0           0           0
           2   0.0512993           0           0           0
           2   0.0769489           0           0           0
           2    0.102599           0           0           0
           2    0.128248           0           0           0
           2    0.153898           0           0           0
           2    0.179547           0           0           0
           2    0.205197           0           0           0
           2    0.230847           0           0           0
           2    0.256496           0           0           0
           2    0.282146           0           0           0
           2    0.307796           0           0           0
           2    0.333445           0           0           0
           2    0.359095           0           0           0
           2    0.384745           0           0           0
           2    0.410394           0           0           0
           2    0.436044           0           0           0
           2    0.461694           0           0           0
           2    0.487343           0           0           0
           2    0.512993           0           0           0
           2    0.538642           0           0           0
           2    0.564292           0           0           0
           2    0.589942           0           0           0
           2    0.615591           0           0           0
           2    0.641241           0           0           0
           2    0.666891           0           0           0
           2     0.69254           0           0           0
           2     0.71819           0           0           0
           2     0.74384           0           0           0
           2    0.769489           0           0           0
           2    0.795139           0           0           0
           2    0.820788           0           0           0
           2    0.846438           0           0           0
           2    0.872088  0.00155899 0.000779494 0.000551186
           2    0.897737   0.0150705   0.0166295  0.00110239
           2    0.923387    0.156079    0.152228  0.00272291
           2    0.949037     0.59294    0.584363  0.00606487
           2    0.974686     1.19357     1.22865   0.0248122
           2     1.00034     1.89114     1.88012  0.00779132
           2     1.02599     2.25961     2.31059   0.0360449
           2     1.05164     2.51944     2.54571   0.0185761
           2     1.07728      2.5892     2.61068   0.0151911
           2     1.10293     2.36262     2.41122   0.0343653
           2     1.12858     2.13393     2.17417   0.0284533
           2     1.15423     1.96867     1.93095   0.0266758
           2     1.17988     1.71438     1.69497   0.0137253
           2     1.20553      1.5879     1.55825   0.0209703
           2     1.23118     1.45711     1.39396   0.0446588
           2     1.25683      1.3035     1.24884   0.0386516
           2     1.28248       1.164     1.14879   0.0107595
           2     1.30813     1.04746     1.02866   0.0132995
           2     1.33378     1.02062    0.960399   0.0425797
           2     1.35943    0.922449    0.891101   0.0221666
           2     1.38508    0.817357    0.821344   0.0028195
           2     1.41073    0.750534    0.760138  0.00679077
           2     1.43638    0.745505    0.755131   0.0068064
           2     1.46203    0.719504    0.727295  0.00550951
           2     1.48768    0.669121    0.691671   0.0159457
           2     1.51333    0.671393    0.702488   0.0219877
           2     1.53898    0.633129    0.679562   0.0328334
           2     1.56463    0.628782    0.656907    0.019887
           2     1.59028    0.620531    0.645262   0.0174873
           2     1.61593    0.623177    0.649382   0.0185296
           2     1.64158    0.673089    0.686379  0.00939721
           2     1.66723    0.713809    0.727039  0.00935535
           2     1.69288    0.743598    0.739994  0.00254829
           2     1.71853    0.790296    0.758037   0.0228107
           2     1.74418    0.815755    0.786665   0.0205704
           2     1.76983    0.850438    0.844122  0.00446635
           2     1.79547    0.859867    0.869387  0.00673211
           2     1.82112    0.956345    0.957114 0.000543539
           2     1.84677    0.948857    0.984234   0.0250154
           2     1.87242     1.00129     1.01108  0.00692245
           2     1.89807     1.04581     1.05925  0.00950533
           2     1.92372      1.0985     1.11107  0.00888283
           2     1.94937     1.15812     1.12765   0.0215512
           2     1.97502     1.17825     1.15823   0.0141554
           2     2.00067     1.23835     1.21267   0.0181623
           2     2.02632     1.25522     1.24525  0.00704666
           2     2.05197     1.28492     1.25574   0.0206299
           2     2.07762     1.22987     1.23793  0.00569988
           2     2.10327     1.20288     1.21297  0.00713321
           2     2.12892     1.19928     1.20555  0.00443376
           2     2.15457      1.1695     1.15314   0.0115668
           2     2.18022     1.12428     1.12303 0.000881651
           2     2.20587     1.10275     1.10402  0.00089749
           2     2.23152     1.09479     1.08056   0.0100614
           2     2.25717     1.06715     1.05444  0.00898776
           2     2.28282     1.03744     1.04682  0.00663439
           2     2.30847    0.983238    0.982371 0.000612575
           2     2.33412    0.974159    0.982451  0.00586352
           2     2.35977    0.964947    0.961298  0.00258004
           2     2.38542    0.957528    0.950754  0.00478983
           2     2.41107    0.953224    0.957624  0.00311159
           2     2.43672     0.91929    0.915562   0.0026363
           2     2.46237    0.933721    0.921893  0.00836335
           2     2.48802    0.891425    0.890012 0.000998711
           2     2.51366    0.859353    0.881894    0.015939
           2     2.53931    0.880151    0.888944  0.00621768
           3           0           0           0           0
           3   0.0256496           0           0           0
           3   0.0512993           0           0           0
           3   0.0769489           0           0           0
           3    0.102599           0           0           0
           3    0.128248           0           0           0
           3    0.153898           0           0           0
           3    0.179547           0           0           0
           3    0.205197           0           0           0
           3    0.230847           0           0           0
           3    0.256496           0           0           0
           3    0.282146           0           0           0
           3    0.307796           0           0           0
           3    0.333445           0           0           0
           3    0.359095           0           0           0
           3    0.384745           0           0           0
           3    0.410394           0           0           0
           3    0.436044           0           0           0
           3    0.461694           0           0           0
           3    0.487343           0           0           0
           3    0.512993           0           0           0
           3    0.538642           0           0           0
           3    0.564292           0           0           0
           3    0.589942           0           0           0
           3    0.615591           0           0           0
           3    0.641241           0           0           0
           3    0.666891           0           0           0
           3     0.69254           0           0           0
           3     0.71819           0           0           0
           3     0.74384           0           0           0
           3    0.769489           0           0           0
           3    0.795139           0           0           0
           3    0.820788           0           0           0
           3    0.846438           0           0           0
           3    0.872088  0.00256775  0.00137558 0.000609838
           3    0.897737   0.0301409   0.0211333  0.00375007
           3    0.923387    0.190162    0.164873   0.0104827
           3    0.949037    0.545359    0.571362   0.0113595
           3    0.974686     1.17552     1.21094   0.0219711
           3     1.00034     1.81999     1.86008   0.0171698
           3     1.02599     2.36988     2.33035   0.0289459
           3     1.05164     2.49194     2.52779   0.0191725
           3     1.07728      2.6463     2.62255   0.0140204
           3     1.10293     2.48335     2.43526   0.0301716
           3     1.12858     2.10566     2.15133      0.0266
           3     1.15423      1.9199     1.92726   0.0180362
           3     1.17988      1.6538     1.68125   0.0144661
           3     1.20553     1.55897     1.55849   0.0139816
           3     1.23118     1.41252     1.40014   0.0301981
           3     1.25683     1.29049     1.26273   0.0281512
           3     1.28248     1.15536     1.15098   0.0073925
           3     1.30813     1.01191     1.02307  0.00996974
           3     1.33378    0.934874    0.951891   0.0292241
           3     1.35943    0.836642    0.872948   0.0209301
           3     1.38508    0.797108    0.813265  0.00685896
           3     1.41073    0.806773    0.775683   0.0134759
           3     1.43638    0.744753    0.751672  0.00534489
           3     1.46203    0.714287    0.722959  0.00510147
           3     1.48768    0.712723    0.698688   0.0120762
           3     1.51333    0.676634     0.69387   0.0162598
           3     1.53898    0.675894    0.678339   0.0219117
           3     1.56463    0.688927     0.66758   0.0158658
           3     1.59028    0.668428    0.652984   0.0132539
           3     1.61593     0.70171    0.666825   0.0188529
           3     1.64158    0.671909    0.681555  0.00739989
           3     1.66723    0.726021      0.7267  0.00624305
           3     1.69288    0.772503     0.75083  0.00900932
           3     1.71853     0.81653    0.777535   0.0220158
           3     1.74418     0.81871    0.797346   0.0162521
           3     1.76983    0.824585     0.83761  0.00609414
           3     1.79547    0.851235    0.863337  0.00667453
           3     1.82112     0.92562    0.946616  0.00857939
           3     1.84677    0.953218    0.973896   0.0186916
           3     1.87242     1.00434     1.00883  0.00496605
           3     1.89807      1.0483      1.0556   0.0070021
           3     1.92372     1.07064     1.09759   0.0124948
           3     1.94937     1.13988     1.13173   0.0147483
           3     1.97502     1.16231     1.15959  0.00950206
           3     2.00067     1.22175      1.2157   0.0123582
           3     2.02632     1.25541     1.24864  0.00545056
           3     2.05197     1.22815     1.24655   0.0156699
           3     2.07762     1.23991     1.23859  0.00383795
           3     2.10327     1.21346     1.21313   0.0047574
           3     2.12892      1.1854     1.19883  0.00622798
           3     2.15457     1.19292      1.1664   0.0132919
           3     2.18022     1.17436     1.14014   0.0139825
           3     2.20587     1.10341     1.10382 0.000621133
           3     2.23152     1.07088     1.07733  0.00720651
           3     2.25717     1.03186     1.04691   0.0085827
           3     2.28282     1.01573     1.03646  0.00954805
           3     2.30847      1.0016    0.988782  0.00525023
           3     2.33412     1.00901    0.991304  0.00821764
           3     2.35977    0.974145    0.965581  0.00389669
           3     2.38542    0.911178    0.937562   0.0112344
           3     2.41107    0.926797    0.947348  0.00864285
           3     2.43672    0.910781    0.913968  0.00218689
           3     2.46237    0.918775    0.920854  0.00563978
           3     2.48802    0.887636     0.88922 0.000928337
           3     2.51366    0.872247    0.878679   0.0109456
           3     2.53931    0.872664    0.883518  0.00606743
           4           0           0           0           0
           4   0.0256496           0           0           0
           4   0.0512993           0           0           0
           4   0.0769489           0           0           0
           4    0.102599           0           0           0
           4    0.128248           0           0           0
           4    0.153898           0           0           0
           4    0.179547           0           0           0
           4    0.205197           0           0           0
           4    0.230847           0           0           0
           4    0.256496           0           0           0
           4    0.282146           0           0           0
           4    0.307796           0           0           0
           4    0.333445           0           0           0
           4    0.359095           0           0           0
           4    0.384745           0           0           0
           4    0.410394           0           0           0
           4    0.436044           0           0           0
           4    0.461694           0           0           0
           4    0.487343           0           0           0
           4    0.512993           0           0           0
           4    0.538642           0           0           0
           4    0.564292           0           0           0
           4    0.589942           0           0           0
           4    0.615591           0           0           0
           4    0.641241           0           0           0
           4    0.666891           0           0           0
           4     0.69254           0           0           0
           4     0.71819           0           0           0
           4     0.74384           0           0           0
           4    0.769489           0           0           0
           4    0.795139           0           0           0
           4    0.820788           0           0           0
           4    0.846438           0           0           0
           4    0.872088  0.00284286   0.0017424 0.000556878
           4    0.897737   0.0116926   0.0187731  0.00347682
           4    0.923387    0.178692    0.168328  0.00841211
           4    0.949037    0.575243    0.572332  0.00856096
           4    0.974686     1.18208     1.20373   0.0176237
           4     1.00034     1.82797     1.85205   0.0146342
           4     1.02599     2.32603     2.32927   0.0217296
           4     1.05164     2.42063       2.501   0.0272942
           4     1.07728      2.4577     2.58134   0.0372094
           4     1.10293     2.32858     2.40859   0.0323344
           4     1.12858     2.24804     2.17551   0.0289196
           4     1.15423     2.02751     1.95233   0.0255748
           4     1.17988     1.72357     1.69183   0.0142011
           4     1.20553     1.55297     1.55711    0.010554
           4     1.23118     1.43136     1.40795   0.0236354
           4     1.25683     1.27383      1.2655     0.02125
           4     1.28248     1.14556     1.14962  0.00566727
           4     1.30813     1.12867     1.04947   0.0240533
           4     1.33378    0.984695    0.960092   0.0230401
           4     1.35943    0.823332    0.860544   0.0190212
           4     1.38508    0.779909    0.804926  0.00886677
           4     1.41073    0.742525    0.767393    0.012397
           4     1.43638    0.741881    0.749224  0.00453464
           4     1.46203    0.705934    0.718703  0.00531278
           4     1.48768     0.70258    0.699661  0.00909625
           4     1.51333    0.719153    0.700191   0.0133671
           4     1.53898    0.675417    0.677609   0.0164459
