#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45587    -5.45587           0
           2    -5.47171    -5.46379  0.00559891
           3    -5.44721    -5.45826  0.00585708
           4    -5.46033    -5.45878  0.00441545
           5    -5.42723    -5.45247  0.00665774
           6    -5.44722    -5.45159  0.00560523
           7    -5.43011    -5.44853  0.00558215
           8    -5.38454    -5.44053    0.008935
           9    -5.41982    -5.43823    0.008233
          10    -5.46731    -5.44113  0.00790675
          11    -5.43895    -5.44094  0.00719045
          12    -5.45307    -5.44195  0.00666202
          13    -5.41284    -5.43971  0.00651507
          14    -5.43972    -5.43971   0.0060497
          15    -5.46384    -5.44132  0.00585642
          16    -5.46086    -5.44254  0.00561636
          17    -5.43494    -5.44209  0.00530376
          18    -5.44281    -5.44213  0.00500925
          19    -5.43183    -5.44159  0.00477484
          20    -5.43116    -5.44107  0.00456448
          21    -5.39583    -5.43891  0.00482879
          22    -5.42432    -5.43825  0.00465463
          23    -5.46152    -5.43926  0.00456085
          24    -5.43731    -5.43918  0.00437154
          25    -5.46586    -5.44025  0.00432499
          26    -5.40584    -5.43893  0.00435641
          27    -5.46266     -5.4398  0.00428281
          28    -5.44219    -5.43989   0.0041307
          29    -5.41387    -5.43899  0.00408454
          30    -5.45951    -5.43968  0.00400527
