#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.62336     1.62336           0
           2     1.49753     1.56045   0.0444871
           3     1.55824     1.55971   0.0296641
           4     1.42778     1.52673   0.0362062
           5     1.71324     1.56403   0.0441834
           6      1.5337     1.55898   0.0371077
           7     1.63924     1.57044   0.0335314
           8     2.00003     1.62414   0.0581714
           9     1.69595     1.63212   0.0522523
          10     1.52825     1.62173   0.0480483
          11     1.74146     1.63262   0.0448962
          12     1.55189     1.62589   0.0416558
          13     1.68397     1.63036   0.0386903
          14     1.64042     1.63108   0.0359334
          15     1.57655     1.62744   0.0337212
          16     1.53421     1.62161   0.0321131
          17     1.65196      1.6234   0.0302737
          18     1.69157     1.62719   0.0288277
          19     1.64027     1.62787   0.0273187
          20     1.73722     1.63334   0.0264942
          21      1.8126     1.64188   0.0265721
          22     1.62623     1.64117   0.0253738
          23     1.54997      1.6372   0.0245784
          24     1.70142     1.63988   0.0236995
          25     1.44751     1.63218   0.0239681
          26     1.91273     1.64297   0.0253591
          27     1.63583     1.64271   0.0244213
          28     1.67846     1.64399   0.0235825
          29     1.74237     1.64738    0.023012
          30     1.63095     1.64683   0.0222515
