#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11911     1.11911           0
           2       1.129     1.12405  0.00349474
           3     1.11334     1.12048  0.00373239
           4     1.12131     1.12069  0.00280499
           5       1.101     1.11675  0.00417562
           6     1.11241     1.11603  0.00354169
           7     1.10244     1.11409  0.00352765
           8     1.07226     1.10886  0.00578377
           9     1.09386     1.10719  0.00537583
          10     1.12588     1.10906  0.00515302
          11     1.10863     1.10902  0.00468471
          12      1.1172      1.1097  0.00434355
          13     1.09046     1.10822   0.0042541
          14     1.10813     1.10822  0.00395024
          15     1.12507     1.10934  0.00384345
          16     1.12192     1.11013  0.00368282
          17     1.10371     1.10975  0.00348547
          18     1.11047     1.10979  0.00329206
          19     1.10258     1.10941  0.00314059
          20      1.1021     1.10904  0.00300477
          21     1.07937     1.10763  0.00317663
          22     1.09732     1.10716   0.0030666
          23     1.12232     1.10782  0.00300322
          24     1.10578     1.10774  0.00287928
          25     1.12625     1.10848   0.0028578
          26     1.08807     1.10769  0.00285362
          27     1.12447     1.10831  0.00281475
          28     1.11009     1.10838  0.00271494
          29     1.09187     1.10781  0.00268032
          30     1.12059     1.10823   0.0026246
