N_BLOCK:  ACCEPTANCE:
1 0.502
2 0.4915
3 0.486333
4 0.48975
5 0.4964
6 0.495833
7 0.498429
8 0.5015
9 0.501111
10 0.5006
11 0.501636
12 0.499667
13 0.499923
14 0.499357
15 0.5002
16 0.500938
17 0.499588
18 0.502
19 0.502474
20 0.502
21 0.501095
22 0.499364
23 0.498913
24 0.498875
25 0.49928
26 0.499769
27 0.501593
28 0.501143
29 0.499655
30 0.499
31 0.497871
32 0.497875
33 0.497788
34 0.498294
35 0.498714
36 0.499222
37 0.498892
38 0.499079
39 0.498385
40 0.498425
41 0.499341
42 0.499714
43 0.500953
44 0.500977
45 0.5006
46 0.500326
47 0.500723
48 0.500646
49 0.500388
50 0.50052
