Block   Block_Energy   Progressive_Avg   Progressive_Err   Acceptance     
1       0.53034450     0.53034450        0.00000000        1.0000         
2       0.53034450     0.53034450        0.00000000        0.5000         
3       0.51806373     0.52625091        0.00409359        0.6667         
4       -1.10567044    0.11827057        0.40799061        0.7500         
5       -1.10567044    -0.12651763       0.39974375        0.6000         
6       0.40759587     -0.03749871       0.33831111        0.6667         
7       -5.35370075    -0.79695615       0.81149784        0.7143         
8       0.53066085     -0.63100402       0.72210572        0.7500         
9       0.53066085     -0.50193015       0.64978605        0.6667         
10      0.53066085     -0.39867105       0.59028804        0.6000         
11      0.53066085     -0.31418633       0.54057832        0.5455         
12      -0.65582571    -0.34265628       0.49429880        0.5833         
13      -0.68152779    -0.36872332       0.45543536        0.6154         
14      -0.74592859    -0.39566655       0.42251116        0.6429         
15      -0.74592859    -0.41901735       0.39402899        0.6000         
16      -0.79070175    -0.44224763       0.36931171        0.6250         
17      -0.34989027    -0.43681484       0.34695048        0.6471         
18      -0.34989027    -0.43198570       0.32714370        0.6111         
19      -0.34989027    -0.42766489       0.30947712        0.5789         
20      -0.33912808    -0.42323805       0.29362915        0.6000         
21      0.52147071     -0.37825192       0.28289677        0.6190         
22      -0.26650559    -0.37317254       0.26977931        0.6364         
23      -4.81146606    -0.56614182       0.32200815        0.6522         
24      0.40198182     -0.52580334       0.31092711        0.6667         
25      0.52578846     -0.48373966       0.30118262        0.6800         
26      0.52578846     -0.44491166       0.29196030        0.6538         
27      0.52578846     -0.40895980       0.28322997        0.6296         
28      0.52578846     -0.37557594       0.27496137        0.6071         
29      0.52578846     -0.34449441       0.26712500        0.5862         
30      -5.14702227    -0.50457867       0.30368682        0.6000         
31      0.47742320     -0.47290119       0.29543037        0.6129         
32      -0.85141458    -0.48472973       0.28629369        0.6250         
33      0.08970697     -0.46732256       0.27802799        0.6364         
34      0.08970697     -0.45093934       0.27022387        0.6176         
35      0.36639310     -0.42758698       0.26342674        0.6286         
36      0.25134929     -0.40872764       0.25669850        0.6389         
37      -5.95872737    -0.55872763       0.29125981        0.6486         
38      0.52925130     -0.53009661       0.28493359        0.6579         
39      -0.51379440    -0.52967860       0.27753177        0.6667         
40      -0.76845213    -0.53564794       0.27057037        0.6750         
41      0.28742161     -0.51557308       0.26465106        0.6829         
42      0.28742161     -0.49645415       0.25897967        0.6667         
43      0.28742161     -0.47822449       0.25354139        0.6512         
44      0.26157025     -0.46141097       0.24828203        0.6591         
45      0.52027264     -0.43959578       0.24368040        0.6667         
46      0.52027264     -0.41872907       0.23923589        0.6522         
47      0.34027564     -0.40258004       0.23464680        0.6596         
48      0.34027564     -0.38710388       0.23022707        0.6458         
49      0.52992121     -0.36838908       0.22625494        0.6531         
50      0.52992121     -0.35042287       0.22241050        0.6400         
51      0.52992121     -0.33316122       0.21868821        0.6275         
52      0.52992121     -0.31656348       0.21508281        0.6154         
53      0.52992121     -0.30059208       0.21158926        0.6038         
54      -3.62530578    -0.36216085       0.21657004        0.6111         
55      -0.53744507    -0.36534783       0.21261982        0.6182         
56      0.32399640     -0.35303812       0.20915108        0.6250         
57      0.32399640     -0.34116032       0.20579207        0.6140         
58      0.07813989     -0.33393100       0.20234199        0.6207         
59      0.07813989     -0.32694675       0.19900549        0.6102         
60      0.07813989     -0.32019531       0.19577707        0.6000         
61      0.50651278     -0.30664271       0.19301724        0.6066         
62      0.50651278     -0.29352730       0.19033096        0.5968         
63      0.50651278     -0.28082825       0.18771551        0.5873         
64      0.50651278     -0.26852605       0.18516830        0.5781         
65      -4.11603103    -0.32771844       0.19166649        0.5846         
66      0.14101341     -0.32061644       0.18887368        0.5909         
67      -0.84225666    -0.32840211       0.18619616        0.5970         
68      0.51896510     -0.31594083       0.18386032        0.6029         
69      0.47939994     -0.30441415       0.18154239        0.6087         
70      -5.99306504    -0.38568059       0.19652029        0.6143         
71      0.46395865     -0.37371384       0.19410187        0.6197         
72      0.46395865     -0.36207950       0.19174032        0.6111         
73      0.46395865     -0.35076391       0.18943376        0.6027         
74      0.46395865     -0.33975415       0.18718038        0.5946         
75      0.46395865     -0.32903798       0.18497845        0.5867         
76      0.46395865     -0.31860381       0.18282628        0.5789         
77      0.46395865     -0.30844066       0.18072229        0.5714         
78      0.46395865     -0.29853811       0.17866493        0.5641         
79      0.46395865     -0.28888625       0.17665272        0.5570         
80      0.25191943     -0.28212618       0.17456153        0.5625         
81      0.53063763     -0.27209206       0.17268475        0.5679         
82      0.53063763     -0.26230267       0.17084653        0.5610         
83      0.52960185     -0.25276165       0.16904506        0.5663         
84      -0.00512290    -0.24981357       0.16704651        0.5714         
85      -0.42970414    -0.25192993       0.16508312        0.5765         
86      -0.42970414    -0.25399707       0.16316535        0.5698         
87      -0.42970414    -0.25601669       0.16129163        0.5632         
88      -0.42970414    -0.25799042       0.15946045        0.5568         
89      -0.42970414    -0.25991978       0.15767039        0.5506         
90      0.43220636     -0.25222949       0.15609820        0.5556         
91      0.35390776     -0.24556864       0.15451694        0.5604         
92      0.35390776     -0.23905260       0.15296702        0.5543         
93      0.51130173     -0.23098427       0.15152824        0.5591         
94      0.51130173     -0.22308761       0.15011541        0.5532         
95      0.51130173     -0.21535720       0.14872788        0.5474         
96      0.51130173     -0.20778783       0.14736500        0.5417         
97      0.51130173     -0.20037454       0.14602616        0.5361         
98      0.51130173     -0.19311254       0.14471074        0.5306         
99      0.17443803     -0.18939990       0.14328967        0.5354         
100     -0.23030439    -0.18980895       0.14185012        0.5400         
101     -0.85603000    -0.19640520       0.14059347        0.5446         
102     -5.41589948    -0.24757671       0.14831543        0.5490         
103     0.51883148     -0.24013585       0.14705679        0.5534         
104     0.43541978     -0.23364013       0.14578071        0.5577         
105     -0.77984046    -0.23884203       0.14447932        0.5619         
106     -0.77984046    -0.24394579       0.14320080        0.5566         
107     -0.79195988    -0.24906742       0.14194859        0.5607         
108     -0.78429222    -0.25402320       0.14071540        0.5648         
109     -0.78429222    -0.25888806       0.13950331        0.5596         
110     0.20669280     -0.25465550       0.13829406        0.5636         
111     0.15994523     -0.25092036       0.13709340        0.5676         
112     0.15994523     -0.24725192       0.13591335        0.5625         
113     0.15994523     -0.24364841       0.13475340        0.5575         
114     0.15994523     -0.24010811       0.13361303        0.5526         
115     0.15994523     -0.23662939       0.13249176        0.5478         
116     -0.68133005    -0.24046301       0.13140056        0.5517         
117     -0.68133005    -0.24423111       0.13032712        0.5470         
118     -0.42050784    -0.24572498       0.12922657        0.5508         
119     0.48747244     -0.23956365       0.12828408        0.5546         
120     0.36408179     -0.23453328       0.12730997        0.5583         
121     0.19628299     -0.23097281       0.12630363        0.5620         
122     0.19628299     -0.22747071       0.12531303        0.5574         
123     0.19628299     -0.22402556       0.12433778        0.5528         
124     0.19628299     -0.22063598       0.12337755        0.5484         
125     0.53011038     -0.21463001       0.12253383        0.5520         
126     0.53011038     -0.20871937       0.12170107        0.5476         
127     -0.24926495    -0.20903862       0.12073941        0.5512         
128     0.43790796     -0.20398435       0.11989900        0.5547         
129     0.19747261     -0.20087228       0.11900661        0.5581         
130     -0.49856660    -0.20316224       0.11810983        0.5615         
131     -1.77388616    -0.21515250       0.11781648        0.5649         
132     -1.77388616    -0.22696109       0.11751532        0.5606         
133     -0.06454003    -0.22573988       0.11663480        0.5639         
134     -0.12438243    -0.22498348       0.11576359        0.5672         
135     -0.12438243    -0.22423829       0.11490530        0.5630         
136     -0.08115184    -0.22318618       0.11406213        0.5662         
137     -0.67761466    -0.22650318       0.11327507        0.5693         
138     -0.67761466    -0.22977210       0.11249875        0.5652         
139     -0.67761466    -0.23299399       0.11173293        0.5612         
140     -0.67761466    -0.23616985       0.11097742        0.5571         
141     -0.74214247    -0.23975831       0.11024595        0.5603         
142     0.31885520     -0.23582441       0.10953748        0.5634         
143     0.31885520     -0.23194553       0.10883793        0.5594         
144     -0.78080781    -0.23575708       0.10814666        0.5625         
145     -0.38381338    -0.23677815       0.10740308        0.5655         
146     0.01887658     -0.23502709       0.10667928        0.5685         
147     0.10837118     -0.23269105       0.10597683        0.5714         
148     0.10837118     -0.23038658       0.10528356        0.5676         
149     0.10837118     -0.22811303       0.10459929        0.5638         
150     -0.27705721    -0.22843933       0.10390013        0.5667         
151     0.42150178     -0.22413508       0.10329947        0.5695         
152     0.42150178     -0.21988747       0.10270549        0.5658         
153     -5.10386993    -0.25180893       0.10690888        0.5686         
154     0.47126236     -0.24711366       0.10631613        0.5714         
155     -0.27901597    -0.24731948       0.10562819        0.5742         
156     -4.20679442    -0.27270073       0.10797444        0.5769         
157     0.19227581     -0.26973910       0.10732537        0.5796         
158     0.19227581     -0.26681495       0.10668402        0.5759         
159     0.19227581     -0.26392759       0.10605024        0.5723         
160     0.33277318     -0.26019821       0.10545131        0.5750         
161     0.33277318     -0.25651516       0.10485899        0.5714         
162     -0.42451933    -0.25755222       0.10421486        0.5741         
163     0.11501358     -0.25526654       0.10359875        0.5767         
164     0.11501358     -0.25300873       0.10298986        0.5732         
165     -2.30926009    -0.26547086       0.10311958        0.5758         
166     0.34384773     -0.26180027       0.10256220        0.5783         
167     0.34384773     -0.25817363       0.10201069        0.5749         
168     0.34384773     -0.25459017       0.10146496        0.5714         
169     -0.11220063    -0.25374763       0.10086631        0.5740         
170     -0.11220063    -0.25291500       0.10027468        0.5706         
171     -0.11220063    -0.25209211       0.09968995        0.5673         
172     -0.11220063    -0.25127879       0.09911200        0.5640         
173     -0.11220063    -0.25047487       0.09854071        0.5607         
174     -0.11220063    -0.24968019       0.09797597        0.5575         
175     0.34384407     -0.24628862       0.09747352        0.5600         
176     0.34384407     -0.24293559       0.09697610        0.5568         
177     0.34384407     -0.23962046       0.09648363        0.5537         
178     0.34384407     -0.23634256       0.09599603        0.5506         
179     0.34384407     -0.23310130       0.09551325        0.5475         
180     0.34384407     -0.22989605       0.09503520        0.5444         
181     0.34384407     -0.22672621       0.09456183        0.5414         
182     0.34384407     -0.22359121       0.09409307        0.5385         
183     0.38569264     -0.22026179       0.09363669        0.5410         
184     0.38569264     -0.21696856       0.09318462        0.5380         
185     0.19464694     -0.21474361       0.09270625        0.5405         
186     0.28185001     -0.21207375       0.09224513        0.5430         
187     0.28185001     -0.20943245       0.09178853        0.5401         
188     -0.09816628    -0.20884061       0.09130090        0.5426         
189     -0.09816628    -0.20825503       0.09081843        0.5397         
190     -0.09816628    -0.20767561       0.09034103        0.5368         
191     -0.09816628    -0.20710227       0.08986863        0.5340         
192     -0.24005355    -0.20727389       0.08939950        0.5365         
193     -0.24005355    -0.20744373       0.08893525        0.5337         
194     -0.53426073    -0.20912836       0.08849167        0.5361         
195     0.51895930     -0.20539457       0.08811584        0.5385         
196     0.52813598     -0.20165207       0.08774496        0.5408         
197     0.52813598     -0.19794756       0.08737699        0.5381         
198     -0.68470921    -0.20040595       0.08696932        0.5404         
199     -0.68470921    -0.20283964       0.08656540        0.5377         
200     -0.68470921    -0.20524899       0.08616518        0.5350         
201     -0.68470921    -0.20763436       0.08576860        0.5323         
202     -0.24753767    -0.20783190       0.08534318        0.5347         
203     -0.17201039    -0.20765544       0.08492191        0.5369         
204     -0.17201039    -0.20748071       0.08450478        0.5343         
205     -0.70560289    -0.20991058       0.08412665        0.5366         
206     -0.79103043    -0.21273155       0.08376479        0.5388         
207     0.05986586     -0.21141465       0.08336955        0.5411         
208     0.47966108     -0.20809217       0.08303426        0.5433         
209     0.52456303     -0.20458664       0.08271034        0.5455         
210     0.52456303     -0.20111450       0.08238873        0.5429         
211     0.52456303     -0.19767527       0.08206943        0.5403         
212     0.52456303     -0.19426849       0.08175240        0.5377         
213     0.52456303     -0.19089369       0.08143764        0.5352         
214     -0.56237160    -0.19262957       0.08107478        0.5374         
215     -0.01485164    -0.19180270       0.08070105        0.5395         
216     -0.57967649    -0.19359841       0.08034663        0.5417         
217     -0.26478659    -0.19392646       0.07997619        0.5438         
218     -0.26478659    -0.19425151       0.07960914        0.5413         
219     -0.26478659    -0.19457359       0.07924545        0.5388         
220     -0.26478659    -0.19489274       0.07888507        0.5364         
221     -0.26478659    -0.19520900       0.07852795        0.5339         
222     0.51184758     -0.19202406       0.07823827        0.5360         
223     -0.01482055    -0.19122943       0.07789069        0.5381         
224     -0.01482055    -0.19044189       0.07754618        0.5357         
225     0.05029167     -0.18937196       0.07720818        0.5378         
226     0.05029167     -0.18831150       0.07687310        0.5354         
227     -2.63692517    -0.19909834       0.07729013        0.5374         
228     -4.31302404    -0.21714188       0.07903753        0.5395         
229     -5.21979184    -0.23898751       0.08166765        0.5415         
230     -4.87274946    -0.25913430       0.08377053        0.5435         
231     -0.09012163    -0.25840265       0.08341031        0.5455         
232     -0.17339046    -0.25803621       0.08305081        0.5474         
233     0.49503430     -0.25480415       0.08275674        0.5494         
234     0.49503430     -0.25159971       0.08246460        0.5470         
235     0.49503430     -0.24842255       0.08217438        0.5447         
236     0.49503430     -0.24527231       0.08188606        0.5424         
237     0.48206576     -0.24220337       0.08159755        0.5443         
238     -0.03629765    -0.24133822       0.08125859        0.5462         
239     0.06719200     -0.24004730       0.08092818        0.5481         
240     0.06719200     -0.23876713       0.08060044        0.5458         
241     0.06719200     -0.23749759       0.08027534        0.5436         
242     0.06719200     -0.23623855       0.07995285        0.5413         
243     0.06719200     -0.23498986       0.07963294        0.5391         
244     -0.10073435    -0.23443963       0.07930781        0.5410         
