#   N_BLOCK:  ACCEPTANCE:
           1       1.065
           2      0.7325
           3    0.661667
           4      0.6275
           5       0.606
           6    0.571667
           7    0.562143
           8       0.555
           9    0.546111
          10      0.5365
          11    0.537273
          12    0.531667
          13    0.521538
          14    0.521071
          15    0.520667
          16    0.519375
          17    0.519412
          18      0.5175
          19    0.515526
          20     0.51275
          21       0.515
          22    0.517727
          23    0.518696
          24    0.517083
          25      0.5164
          26       0.515
          27    0.513704
          28    0.513214
          29    0.512931
          30    0.512333
          31    0.514355
          32    0.514687
          33       0.515
          34    0.513088
          35    0.514714
          36    0.513472
          37    0.514324
          38    0.513026
          39    0.514359
          40    0.512625
          41    0.513415
          42     0.51369
          43    0.513488
          44      0.5125
          45       0.511
          46    0.510652
          47    0.510638
          48    0.510729
          49    0.510816
          50      0.5108
