Block   Block_Energy   Progressive_Avg   Progressive_Err   Acceptance     
1       -0.09988834    -0.09988834       0.00000000        0.4810         
2       -0.20152071    -0.15070453       0.05081619        0.4785         
3       -0.11882727    -0.14007877       0.03120366        0.4857         
4       -0.14404148    -0.14106945       0.02208655        0.4950         
5       -0.11453248    -0.13576206       0.01791250        0.4946         
6       -0.11962567    -0.13307266       0.01487071        0.4978         
7       -0.15603218    -0.13635259       0.01298898        0.5014         
8       -0.14865522    -0.13789042       0.01135342        0.5010         
9       -0.08292911    -0.13178361       0.01172812        0.5004         
10      -0.11948323    -0.13055357       0.01056182        0.5016         
11      -0.08880443    -0.12675819       0.01027982        0.4995         
12      -0.10330916    -0.12480411       0.00958545        0.4998         
13      -0.20959004    -0.13132610       0.01096730        0.4992         
14      -0.11697791    -0.13030123       0.01020534        0.5001         
15      -0.19995512    -0.13494482       0.01057475        0.5009         
16      -0.12176576    -0.13412113       0.00992601        0.4994         
17      -0.20944424    -0.13855190       0.01032309        0.5020         
18      -0.15180006    -0.13928791       0.00976049        0.5025         
19      -0.12827727    -0.13870840       0.00925067        0.5020         
20      -0.09117364    -0.13633167       0.00909210        0.5010         
21      -0.06363220    -0.13286979       0.00931547        0.4992         
22      -0.07674171    -0.13031851       0.00924110        0.4988         
23      -0.11790689    -0.12977887       0.00884665        0.4987         
24      -0.15620602    -0.13088001       0.00854130        0.4992         
25      -0.19767824    -0.13355194       0.00861724        0.4997         
26      -0.26782962    -0.13871646       0.00975792        0.5016         
27      -0.16317262    -0.13962225       0.00943315        0.5011         
28      -0.10530887    -0.13839677       0.00917225        0.4996         
29      -0.16063127    -0.13916347       0.00888346        0.4989         
30      -0.10081870    -0.13788532       0.00867690        0.4977         
31      -0.09722278    -0.13657362       0.00849422        0.4977         
32      -0.13808364    -0.13662081       0.00822463        0.4977         
33      -0.20647331    -0.13873755       0.00824775        0.4982         
34      -0.14813853    -0.13901405       0.00800627        0.4986         
35      -0.18786456    -0.14040978       0.00789845        0.4991         
36      -0.09983230    -0.13928263       0.00775823        0.4988         
37      -0.15143036    -0.13961094       0.00755278        0.4990         
38      -0.07293640    -0.13785635       0.00755782        0.4983         
39      -0.09564580    -0.13677403       0.00744062        0.4983         
40      -0.20328449    -0.13843679       0.00744040        0.4993         
41      -0.19816771    -0.13989364       0.00740145        0.4997         
42      -0.31269730    -0.14400802       0.00831269        0.5009         
43      -0.09121447    -0.14278026       0.00820940        0.5010         
44      -0.11586050    -0.14216845       0.00804395        0.5006         
45      -0.12731991    -0.14183848       0.00787009        0.5003         
46      -0.15403273    -0.14210357       0.00770166        0.5007         
47      -0.18610176    -0.14303970       0.00759394        0.5006         
48      -0.11057971    -0.14236345       0.00746474        0.5004         
49      -0.16121424    -0.14274816       0.00732093        0.5005         
50      -0.11865408    -0.14226628       0.00718918        0.5011         
