#   N_BLOCK:  ACCEPTANCE:
           1         0.7
           2       0.712
           3    0.713333
           4        0.71
           5      0.7148
           6      0.7105
           7    0.711714
           8    0.708625
           9    0.709444
          10      0.7115
          11    0.710818
          12     0.71225
          13    0.711923
          14    0.712786
          15    0.713067
          16    0.714562
          17    0.713412
          18    0.714056
          19    0.712895
          20      0.7126
          21    0.712857
          22    0.712045
          23    0.713261
          24    0.713167
          25     0.71248
          26    0.712885
          27    0.712111
          28    0.711679
          29    0.712207
          30      0.7126
          31    0.712839
          32    0.712844
          33    0.713485
          34      0.7135
          35    0.713743
          36     0.71275
          37    0.712811
          38    0.712368
          39    0.713103
          40    0.713325
          41    0.713732
          42    0.713786
          43    0.713302
          44    0.713205
          45    0.712711
          46    0.712609
          47    0.712723
          48    0.712958
          49    0.712735
          50     0.71248
