#     BLOCK:   ACTUAL_EN:     EN_AVE:       ERROR:
           1   -0.437541   -0.437541           0
           2    -0.47263   -0.455086   0.0124058
           3   -0.464359   -0.458177  0.00864708
           4   -0.397266   -0.442949    0.014696
           5   -0.443831   -0.443126   0.0117579
           6   -0.449109   -0.444123  0.00984041
           7   -0.446599   -0.444477    0.008441
           8   -0.431819   -0.442894   0.0075327
           9   -0.416569   -0.439969  0.00724142
          10   -0.435888   -0.439561  0.00652877
          11   -0.421444   -0.437914  0.00613949
          12   -0.450553   -0.438967   0.0057175
          13   -0.430639   -0.438327  0.00531346
          14   -0.476435   -0.441049  0.00558781
          15    -0.41554   -0.439348  0.00546795
          16   -0.474233   -0.441528  0.00554388
          17   -0.426602    -0.44065  0.00528685
          18   -0.463746   -0.441934  0.00514648
          19    -0.42789   -0.441194  0.00492841
          20   -0.454369   -0.441853  0.00472581
          21   -0.445102   -0.442008   0.0045033
          22   -0.458837   -0.442773  0.00436309
          23   -0.428718   -0.442162  0.00421597
          24   -0.438753    -0.44202  0.00404269
          25   -0.382162   -0.439625  0.00453492
          26   -0.415013   -0.438679  0.00445821
          27    -0.46648   -0.439708   0.0044104
          28   -0.455904   -0.440287  0.00429065
          29   -0.417825   -0.439512  0.00421202
          30   -0.452812   -0.439956  0.00409489
          31   -0.441243   -0.439997    0.003963
          32   -0.420367   -0.439384  0.00388635
          33   -0.471837   -0.440367  0.00389102
          34   -0.479434   -0.441516  0.00394258
          35   -0.461849   -0.442097  0.00387249
          36   -0.430247   -0.441768  0.00377889
          37   -0.432954    -0.44153  0.00368426
          38   -0.417051   -0.440886  0.00364318
          39   -0.433482   -0.440696  0.00355471
          40   -0.459452   -0.441165  0.00349663
          41   -0.446149   -0.441286  0.00341346
          42   -0.465304   -0.441858  0.00337975
          43     -0.4277   -0.441529  0.00331715
          44   -0.433423   -0.441345  0.00324687
          45   -0.447472   -0.441481  0.00317757
          46   -0.429483    -0.44122  0.00311918
          47   -0.451017   -0.441428  0.00305977
          48   -0.451028   -0.441628  0.00300256
          49   -0.450999    -0.44182  0.00294736
          50   -0.440105   -0.441785  0.00288862
