T:    MU:       SIGMA:     ENERGY:      EN_ERR:    MEAN_ACCEPTANCE:   BEST_ENERGY:
2           1           1    0.708977   0.0584664      0.8131    0.708977
1.98           1           1    0.708977   0.0584664      0.8131    0.708977
1.9602     1.00782     1.01124    0.803246   0.0674726     0.81734    0.708977
1.9406    0.536988     1.33671    0.781718   0.0963473     0.77458    0.708977
1.92119    0.705774     1.04005   0.0669276   0.0454751     0.75846   0.0669276
1.90198    0.409997    0.763723   -0.209657  0.00655256     0.64562   -0.209657
1.88296    0.433317     1.21932    0.146553   0.0538757     0.75256   -0.209657
1.86413   0.0393472     1.24681   0.0106594   0.0386544     0.73956   -0.209657
1.84549   0.0393472     1.24681   0.0106594   0.0386544     0.73956   -0.209657
1.82703    0.407311     1.41457    0.813187    0.125361     0.77704   -0.209657
1.80876    0.254304     1.66684     2.84114    0.247128     0.80744   -0.209657
1.79068    0.591168     1.50631      1.7164    0.128685     0.79586   -0.209657
1.77277    0.591168     1.50631      1.7164    0.128685     0.79586   -0.209657
1.75504    0.286721     1.14651  -0.0756817   0.0394724      0.7235   -0.209657
1.73749      0.3855     1.36343    0.700253   0.0925004     0.76794   -0.209657
1.72012    0.464799     1.64384     2.47603    0.180734      0.8072   -0.209657
1.70292    0.464799     1.64384     2.47603    0.180734      0.8072   -0.209657
1.68589   0.0441001     1.32123    0.247569   0.0555676     0.75274   -0.209657
1.66903    0.612537     1.12929   0.0698995   0.0391199     0.74876   -0.209657
1.65234    0.729538    0.740963   -0.370853  0.00945662     0.75152   -0.370853
1.63581    0.729538    0.740963   -0.370853  0.00945662     0.75152   -0.370853
1.61946    0.413777    0.865573   -0.238408   0.0112253     0.67398   -0.370853
1.60326    0.413777    0.865573   -0.238408   0.0112253     0.67398   -0.370853
1.58723    0.413777    0.865573   -0.238408   0.0112253     0.67398   -0.370853
1.57136    0.328012    0.937029   -0.249637   0.0112067     0.68186   -0.370853
1.55564    0.328012    0.937029   -0.249637   0.0112067     0.68186   -0.370853
1.54009    0.122223     1.01578   -0.250167   0.0106285     0.69136   -0.370853
1.52469    0.394075     1.32589    0.622756    0.100298     0.76562   -0.370853
1.50944   0.0225444     1.21076  -0.0745062   0.0292677     0.73204   -0.370853
1.49434    0.707386     0.96942   -0.118405   0.0256342     0.75284   -0.370853
1.4794    0.185975    0.812897     -0.1423  0.00866979      0.6306   -0.370853
1.46461    0.185975    0.812897     -0.1423  0.00866979      0.6306   -0.370853
1.44996   0.0363505    0.536715    0.565843   0.0144211     0.47294   -0.370853
1.43546    0.229749    0.325989     1.25799   0.0218254      0.3888   -0.370853
1.42111    0.229749    0.325989     1.25799   0.0218254      0.3888   -0.370853
1.4069    0.241784    0.681009   0.0220224  0.00790637     0.58192   -0.370853
1.39283    0.425037    0.938333   -0.261791   0.0161798     0.69516   -0.370853
1.3789   0.0704868     1.26367   0.0582345   0.0620425     0.74046   -0.370853
1.36511    0.497005     1.08103   -0.144561   0.0246605     0.73534   -0.370853
1.35146    0.621207    0.974894   -0.184096    0.021078     0.73132   -0.370853
1.33794    0.658215    0.730217   -0.363967  0.00596022     0.72082   -0.370853
1.32456    0.658215    0.730217   -0.363967  0.00596022     0.72082   -0.370853
1.31132    0.895674    0.495233   -0.228272  0.00711435      0.5418   -0.370853
1.29821    0.374853    0.648579  -0.0690218  0.00771322     0.60198   -0.370853
1.28522   0.0362962    0.749298  -0.0183837  0.00831158     0.59378   -0.370853
1.27237    0.121595     1.03713   -0.239466   0.0123605      0.6951   -0.370853
1.25965   0.0758257      1.1663   -0.171413    0.023891     0.72256   -0.370853
1.24705    0.510717    0.904437   -0.267363   0.0132605     0.70414   -0.370853
1.23458    0.441505    0.930695      -0.245    0.014898     0.69346   -0.370853
1.22223    0.935031    0.784793  -0.0897944   0.0236458     0.78838   -0.370853
1.21001    0.345066    0.674051  -0.0422848  0.00888558     0.59662   -0.370853
1.19791    0.232096     0.80039   -0.158976  0.00871055     0.62544   -0.370853
1.18593    0.239129    0.933695   -0.229753  0.00904622     0.66722   -0.370853
1.17407    0.349009    0.805562   -0.187114  0.00773354      0.6461   -0.370853
1.16233     0.46302    0.700553   -0.201206   0.0065719     0.64506   -0.370853
1.15071    0.515469     0.51904    -0.11563  0.00679255     0.65058   -0.370853
1.1392    0.467462    0.500267 -0.00717658  0.00931076      0.6173   -0.370853
1.12781    0.516574    0.652009   -0.232345  0.00643579     0.65838   -0.370853
1.11653    0.415566    0.732393   -0.183601  0.00685348     0.64078   -0.370853
1.10537    0.359029      0.8173    -0.20986  0.00769477     0.65252   -0.370853
1.09431    0.359029      0.8173    -0.20986  0.00769477     0.65252   -0.370853
1.08337    0.783079    0.806141   -0.294306    0.018008     0.76338   -0.370853
1.07254     1.07104    0.691122  -0.0107871   0.0242986     0.67988   -0.370853
1.06181    0.629335    0.813288   -0.307394   0.0100671     0.71358   -0.370853
1.05119    0.629335    0.813288   -0.307394   0.0100671     0.71358   -0.370853
1.04068      1.1304    0.831539    0.621326   0.0387559     0.76758   -0.370853
1.03027    0.627736     1.06013 -0.00205609   0.0301988      0.7469   -0.370853
1.01997    0.813184     1.08336    0.330789   0.0458697     0.77856   -0.370853
1.00977    0.499389     1.33472    0.674523   0.0882237     0.77104   -0.370853
0.999674    0.052125     1.09446   -0.213463    0.014138     0.70724   -0.370853
0.989677    0.277468     1.28473    0.217306   0.0704504     0.75274   -0.370853
0.979781    0.482244      1.2316    0.264769   0.0694604     0.75554   -0.370853
0.969983  0.00367477     1.02057   -0.259326   0.0111146     0.68472   -0.370853
0.960283    0.298073    0.822908   -0.193339  0.00657601     0.64054   -0.370853
0.95068    0.687237    0.793609   -0.329228  0.00853335     0.73488   -0.370853
0.941173    0.390186    0.631395  -0.0589424  0.00844524     0.59918   -0.370853
0.931762    0.390186    0.631395  -0.0589424  0.00844524     0.59918   -0.370853
0.922444    0.492339    0.516682  -0.0858085  0.00883231     0.63094   -0.370853
0.913219    0.704181     0.40662    0.189195   0.0170058     0.53298   -0.370853
0.904087    0.789426    0.478985   -0.217107  0.00822386     0.58428   -0.370853
0.895046    0.368913    0.564646   0.0830833  0.00859864     0.56988   -0.370853
0.886096    0.337452    0.773779   -0.170904  0.00679385     0.63308   -0.370853
0.877235    0.561944    0.656671   -0.274629  0.00615844     0.68152   -0.370853
0.868463    0.687983    0.569011    -0.38611  0.00477234     0.72822    -0.38611
0.859778    0.687983    0.569011    -0.38611  0.00477234     0.72822    -0.38611
0.85118    0.687983    0.569011    -0.38611  0.00477234     0.72822    -0.38611
0.842668    0.775792    0.696433   -0.398664  0.00973094     0.76566   -0.398664
0.834242    0.773651    0.536393   -0.385386  0.00408274     0.66772   -0.398664
0.825899    0.518386    0.426407   0.0543914   0.0103676       0.649   -0.398664
0.81764    0.674525    0.594737   -0.390765  0.00388795     0.73222   -0.398664
0.809464     1.04518    0.422411    0.217217   0.0128367      0.4044   -0.398664
0.801369    0.997497    0.314786     1.16836   0.0312732     0.30206   -0.398664
0.793356    0.997497    0.314786     1.16836   0.0312732     0.30206   -0.398664
0.785422    0.997497    0.314786     1.16836   0.0312732     0.30206   -0.398664
0.777568     0.90807    0.379337    0.502907   0.0186643     0.38394   -0.398664
0.769792     1.22531    0.494824     0.32573   0.0111042      0.4569   -0.398664
0.762094     0.91036    0.424828    0.142794   0.0145941     0.44104   -0.398664
0.754473    0.546573    0.503817   -0.157286  0.00737268     0.67638   -0.398664
0.746929     0.45488    0.676758   -0.177428  0.00669029     0.63574   -0.398664
0.739459     0.45488    0.676758   -0.177428  0.00669029     0.63574   -0.398664
0.732065     0.32029    0.837435    -0.22655  0.00656702     0.65034   -0.398664
0.724744    0.401792    0.957099   -0.247851   0.0137815     0.69426   -0.398664
0.717497    0.401792    0.957099   -0.247851   0.0137815     0.69426   -0.398664
0.710322    0.588844      0.8995   -0.281552   0.0122213     0.71448   -0.398664
0.703218    0.244848     1.05536   -0.210411   0.0188517     0.69888   -0.398664
0.696186    0.244848     1.05536   -0.210411   0.0188517     0.69888   -0.398664
0.689224     0.52005     1.05775   -0.138729   0.0285482     0.72912   -0.398664
0.682332    0.219356     1.22079  -0.0289874   0.0367113     0.73738   -0.398664
0.675509    0.219356     1.22079  -0.0289874   0.0367113     0.73738   -0.398664
0.668754  0.00195048     1.18629   -0.111135   0.0235243     0.72552   -0.398664
0.662066    0.125299     1.07665    -0.21259   0.0161148     0.70246   -0.398664
0.655446    0.232887    0.952911   -0.253501  0.00924868     0.67508   -0.398664
0.648891   0.0228782    0.976611   -0.244178  0.00860935     0.67164   -0.398664
0.642402   0.0203116    0.999931   -0.227122   0.0108085     0.68302   -0.398664
0.635978    0.143851    0.850863   -0.171271  0.00685383     0.63216   -0.398664
0.629618    0.273377    0.967079   -0.254126   0.0085074     0.68292   -0.398664
0.623322    0.215062    0.838482   -0.183123  0.00791839     0.63946   -0.398664
0.617089   0.0296792    0.905336   -0.211203  0.00744298        0.65   -0.398664
0.610918     0.22399     1.05872   -0.237208   0.0203594     0.70236   -0.398664
0.604809   0.0966292     1.00349   -0.247994   0.0127042     0.68172   -0.398664
0.598761   0.0912589    0.959166   -0.227388   0.0112066      0.6705   -0.398664
0.592773   0.0967996     1.09583   -0.206383   0.0277999     0.71008   -0.398664
