CITY_ID      ANGLE
1             0.770629
2             1.06763
3             4.58452
4             2.08078
5             2.9978
6             3.59294
7             4.42983
8             0.540399
9             4.12189
10             5.68932
11             2.33418
12             5.2563
13             4.87605
14             0.132811
15             1.05762
16             3.59674
17             1.75447
18             3.42973
19             0.10871
20             3.66422
21             0.406163
22             4.74163
23             1.46497
24             1.2145
25             3.09903
26             4.75039
27             3.01051
28             3.10553
29             1.62039
30             1.50337
31             2.96439
32             3.67514
33             3.87553
34             3.64719
