Generation Loss_Best Loss_Average_Half
0 32.808 40.4924
1 26.9297 37.9958
2 26.6334 34.8058
3 25.4029 32.5827
4 22.9489 30.3354
5 22.9489 28.672
6 21.6685 26.3649
7 19.5474 25.0422
8 19.2292 23.9593
9 17.7467 22.8902
10 17.3555 22.1797
11 16.4953 20.9882
12 16.2309 20.2906
13 16.1819 19.1307
14 15.3523 18.1263
15 15.3523 17.4364
16 14.8763 17.072
17 14.2004 16.9385
18 13.9669 16.1438
19 13.5159 15.7895
20 12.0647 15.4649
21 11.7173 15.0421
22 11.3086 14.2739
23 10.8305 13.6016
24 10.8204 13.0248
25 10.525 12.261
26 10.1882 11.7385
27 9.6312 11.4671
28 9.6312 11.1884
29 9.22841 10.6839
30 9.00492 10.4284
31 8.74334 10.233
32 8.51162 9.91564
33 8.32329 9.59108
34 8.1624 9.22015
35 8.1624 9.23484
36 7.47061 9.31748
37 7.47061 9.50236
38 7.4509 9.35242
39 7.39629 8.97571
40 7.36355 8.44702
41 6.91263 7.90734
42 6.39545 7.66637
43 6.39545 7.3199
44 6.31625 7.07255
45 6.31625 6.79968
46 6.29458 6.55495
47 6.28231 6.58262
48 6.26052 6.50036
49 6.26052 6.38419
50 6.26052 6.37791
51 6.26052 6.33381
52 6.26052 6.36295
53 6.26052 6.36534
54 6.26052 6.35043
55 6.24306 6.36891
56 6.24306 6.4334
57 6.24306 6.33145
58 6.24306 6.36207
59 6.24306 6.32054
60 6.24306 6.32078
61 6.24306 6.32256
62 6.24306 6.31213
63 6.24306 6.3018
64 6.24306 6.31118
65 6.24306 6.29325
66 6.24306 6.34098
67 6.24306 6.50578
68 6.24306 6.40003
69 6.24306 6.33314
70 6.24306 6.34331
71 6.24306 6.38573
72 6.24306 6.36226
73 6.24306 6.31789
74 6.24306 6.39006
75 6.24306 6.4316
76 6.24306 6.66945
77 6.24306 7.00534
78 6.24306 7.50537
79 6.24306 7.57732
80 6.24306 7.36425
81 6.24306 7.09703
82 6.24306 6.76913
83 6.24306 6.52997
84 6.24306 6.4796
85 6.24306 6.4395
86 6.24306 6.30706
87 6.24306 6.28203
88 6.24306 6.30582
89 6.24306 6.2839
90 6.24306 6.31533
91 6.24306 6.29505
92 6.24306 6.30748
93 6.24306 6.27743
94 6.24306 6.36585
95 6.24306 6.32123
96 6.24306 6.34774
97 6.24306 6.33171
98 6.24306 6.32326
99 6.24306 6.34638
100 6.24306 6.29214
101 6.24306 6.30282
102 6.24306 6.28506
103 6.24306 6.29109
104 6.24306 6.33245
105 6.24306 6.42203
106 6.24306 6.53825
107 6.24306 6.41289
108 6.24306 6.34989
109 6.24306 6.39643
110 6.24306 6.35444
111 6.24306 6.38417
112 6.24306 6.41607
113 6.24306 6.4744
114 6.24306 6.59117
115 6.24306 6.49059
116 6.24306 6.5045
117 6.24306 6.38857
118 6.24306 6.39271
119 6.24306 6.39691
120 6.24306 6.45196
121 6.24306 6.34724
122 6.24306 6.47232
123 6.24306 6.41636
124 6.24306 6.42333
125 6.24306 6.40377
126 6.24306 6.38833
127 6.24306 6.37976
128 6.24306 6.33424
129 6.24306 6.36398
130 6.24306 6.31808
131 6.24306 6.28361
132 6.24306 6.2618
133 6.24306 6.29126
134 6.24306 6.36705
135 6.24306 6.36092
136 6.24306 6.38019
137 6.24306 6.34914
138 6.24306 6.38838
139 6.24306 6.44737
140 6.24306 6.35508
141 6.24306 6.33562
142 6.24306 6.34853
143 6.24306 6.34138
144 6.24306 6.31302
145 6.24306 6.35946
146 6.24306 6.34574
147 6.24306 6.29217
148 6.24306 6.30245
149 6.24306 6.32627
150 6.24306 6.38648
151 6.24306 6.34676
152 6.24306 6.32598
153 6.24306 6.37832
154 6.24306 6.35908
155 6.24306 6.34364
156 6.24306 6.41529
157 6.24306 6.31212
158 6.24306 6.3949
159 6.24306 6.36444
160 6.24306 6.36604
161 6.24306 6.32613
162 6.24306 6.37612
163 6.24306 6.41321
164 6.24306 6.44281
165 6.24306 6.33714
166 6.24306 6.35532
167 6.24306 6.31454
168 6.24306 6.33752
169 6.24306 6.37089
170 6.24306 6.36213
171 6.24306 6.34746
172 6.24306 6.3496
173 6.24306 6.33868
174 6.24306 6.34771
175 6.24306 6.35442
176 6.24306 6.36547
177 6.24306 6.29965
178 6.24306 6.42633
179 6.24306 6.35484
180 6.24306 6.43396
181 6.24306 6.42221
182 6.24306 6.41969
183 6.24306 6.37798
184 6.24306 6.3054
185 6.24306 6.35176
186 6.24306 6.40485
187 6.24306 6.43983
188 6.24306 6.42801
189 6.24306 6.38362
190 6.24306 6.3766
191 6.24306 6.43124
192 6.24306 6.36676
193 6.24306 6.41112
194 6.24306 6.44102
195 6.24306 6.3731
196 6.24306 6.41368
197 6.24306 6.38656
198 6.24306 6.37019
199 6.24306 6.32596
200 6.24306 6.35328
