Generation Loss_Best Loss_Average_Half
0 15.4552 17.612
1 12.3877 16.7138
2 11.6736 15.7816
3 10.9351 14.7023
4 10.9351 13.3851
5 10.674 12.3937
6 10.0672 11.6042
7 9.86437 11.2217
8 8.81888 10.9562
9 8.27132 10.5049
10 8.14379 9.94627
11 7.98418 9.21995
12 7.62256 8.82257
13 7.60404 8.39417
14 7.56087 8.1437
15 7.52499 7.95345
16 7.29795 7.82508
17 7.23281 7.7422
18 6.871 7.56008
19 6.71308 7.38137
20 6.66637 7.21277
21 6.53362 7.07076
22 6.41304 6.91234
23 6.32068 6.78046
24 6.17121 6.75991
25 6.16106 6.69217
26 6.09689 6.65286
27 6.05201 6.61971
28 5.91374 6.55216
29 5.82699 6.42104
30 5.78212 6.27566
31 5.75393 6.22266
32 5.74054 6.03987
33 5.70443 5.91274
34 5.68501 5.88081
35 5.68501 5.87792
36 5.66285 5.8268
37 5.61283 5.78333
38 5.59067 5.7729
39 5.52028 5.74806
40 5.45935 5.70828
41 5.45935 5.66927
42 5.41483 5.78063
43 5.32504 5.81567
44 5.28052 5.80452
45 5.23497 5.6967
46 5.23497 5.53827
47 5.21115 5.51261
48 5.2072 5.41362
49 5.16403 5.35345
50 5.13627 5.4031
51 5.13627 5.42093
52 5.13627 5.48059
53 5.13627 5.44117
54 5.13627 5.37167
55 5.13627 5.31047
56 5.13627 5.29868
57 5.13627 5.2245
58 5.13627 5.23628
59 5.13627 5.20224
60 5.13627 5.18963
61 5.12804 5.18134
62 5.12804 5.16171
63 5.12804 5.17304
64 5.10542 5.16956
65 5.10542 5.15248
66 5.09719 5.17015
67 5.09719 5.23588
68 5.09719 5.187
69 5.09719 5.14342
70 5.09719 5.14559
71 5.09719 5.14568
72 5.09719 5.15566
73 5.09719 5.12752
74 5.09719 5.1579
75 5.09719 5.19154
76 5.09719 5.19635
77 5.09719 5.18577
78 5.09719 5.16368
79 5.09719 5.12498
80 5.09719 5.13444
81 5.09719 5.11723
82 5.09719 5.12544
83 5.09719 5.12944
84 5.09719 5.14505
85 5.09719 5.15313
86 5.09719 5.13681
87 5.09719 5.12926
88 5.09719 5.1222
89 5.09719 5.12072
90 5.09719 5.13671
91 5.09719 5.12156
92 5.09719 5.11516
93 5.09719 5.11895
94 5.09719 5.17675
95 5.09719 5.15944
96 5.09719 5.16771
97 5.09719 5.16523
98 5.09719 5.13925
99 5.09719 5.1724
100 5.09719 5.13937
101 5.09719 5.14195
102 5.09719 5.13717
103 5.09719 5.14023
104 5.09719 5.15634
105 5.09719 5.21454
106 5.09719 5.25446
107 5.09719 5.19655
108 5.09719 5.16761
109 5.09719 5.18377
110 5.09719 5.18146
111 5.09719 5.15967
112 5.09719 5.174
113 5.09719 5.18856
114 5.09719 5.21777
115 5.09719 5.17676
116 5.09719 5.20282
117 5.09719 5.14946
118 5.09719 5.15736
119 5.09719 5.15902
120 5.09719 5.1903
121 5.09719 5.15905
122 5.09719 5.20181
123 5.09719 5.18429
124 5.09719 5.18758
125 5.09719 5.20839
126 5.09719 5.20545
127 5.09719 5.19968
128 5.09719 5.14776
129 5.09719 5.16619
130 5.09719 5.14082
131 5.09719 5.12042
132 5.09719 5.11179
133 5.09719 5.13244
134 5.09719 5.15596
135 5.09719 5.1665
136 5.09719 5.18905
137 5.09719 5.16092
138 5.09719 5.17905
139 5.09719 5.21256
140 5.09719 5.15419
141 5.09719 5.15695
142 5.09719 5.16894
143 5.09719 5.14288
144 5.09719 5.12955
145 5.09719 5.13267
146 5.09719 5.13567
147 5.09719 5.11716
148 5.09719 5.11712
149 5.09719 5.11618
150 5.09719 5.1466
151 5.09719 5.13532
152 5.09719 5.14586
153 5.09719 5.15525
154 5.09719 5.15056
155 5.09719 5.13585
156 5.09719 5.17065
157 5.09719 5.13387
158 5.09719 5.14911
159 5.09719 5.14932
160 5.09719 5.17343
161 5.09719 5.15013
162 5.09719 5.19029
163 5.09719 5.19722
164 5.09719 5.2147
165 5.09719 5.15413
166 5.09719 5.15557
167 5.09719 5.12695
168 5.09719 5.12712
169 5.09719 5.15052
170 5.09719 5.14496
171 5.09719 5.14471
172 5.09719 5.14111
173 5.09719 5.14227
174 5.09719 5.14087
175 5.09719 5.14452
176 5.09719 5.15315
177 5.09719 5.13917
178 5.09719 5.19355
179 5.09719 5.16495
180 5.09719 5.2025
181 5.09719 5.18558
182 5.09719 5.16263
183 5.09719 5.15042
184 5.09719 5.12292
185 5.09719 5.13067
186 5.09719 5.15284
187 5.09719 5.18952
188 5.09719 5.1718
189 5.09719 5.17678
190 5.09719 5.17124
191 5.09719 5.21877
192 5.09719 5.16745
193 5.09719 5.19983
194 5.09719 5.22885
195 5.09719 5.17101
196 5.09719 5.17837
197 5.09719 5.16211
198 5.09719 5.15891
199 5.09719 5.16883
200 5.09719 5.2005
