Generation Loss_Best Loss_Average_Half
0 41172.6 47618.3
1 39561.6 45571
2 38652.2 43372.8
3 36575.7 41399.1
4 35312.2 39838.7
5 33919.7 38659.4
6 32314.9 37195.2
7 31295.9 35718
8 30755.7 34190.7
9 29856.3 32928.4
10 28798.5 31820.8
11 27771.1 30777.5
12 27472.9 29762.8
13 26864.7 28928.9
14 26372.9 28194.8
15 26074.7 27587
16 25648.5 27122.2
17 25066.5 26713.3
18 24828.3 26238.8
19 24375.7 25849.3
20 23756.8 25452
21 23484.5 25015.3
22 22986 24559.8
23 22431.4 24048.5
24 21873.4 23584.7
25 21197.8 23046.2
26 20663.6 22549.5
27 20181 21995
28 19664.9 21494
29 19442.5 20959.3
30 18903.8 20413.6
31 18638.3 19986.7
32 18515.5 19592.7
33 18352.6 19264.6
34 18127.4 19035.4
35 17841.5 18846.8
36 17444 18643.4
37 17353.8 18354.8
38 17021 18046.7
39 16887.1 17758.8
40 16430.4 17515.8
41 16174.9 17315.6
42 15971.5 17026.5
43 15806.2 16765
44 15228.3 16524.7
45 15060.4 16151.9
46 14985.7 15848.8
47 14859.9 15568.7
48 14743.3 15332.1
49 14525.6 15212.5
50 14291 15087.6
51 14076.6 14884.3
52 14023.3 14663.6
53 13791.2 14454.8
54 13542.7 14269.2
55 13488.1 14083.2
56 13441.6 13918.9
57 13296.5 13769.4
58 13188.7 13638.5
59 13006.2 13552.8
60 12946.9 13493.6
61 12853.9 13397.5
62 12820.4 13288.2
63 12601.5 13232.8
64 12547.6 13144.7
65 12472.6 12992.1
66 12388.8 12873.6
67 12319.4 12764.7
68 12116.9 12692.2
69 12063.1 12625.1
70 12029.6 12554.7
71 11898.8 12446.9
72 11752.6 12367.2
73 11677.2 12299.7
74 11536.9 12217.9
75 11353.8 12153.3
76 11326.5 12017.1
77 11086.1 11842.4
78 11070.1 11727.3
79 10915.2 11506.6
80 10870.3 11358.5
81 10729.9 11226.5
82 10637.6 11126.7
83 10548.7 11033.5
84 10491 10949
85 10428.4 10857.5
86 10352.5 10731.2
87 10258.9 10650.1
88 10183.1 10575.8
89 10014.3 10519.9
90 9999.15 10436.9
91 9999.15 10346.1
92 9886.22 10260.3
93 9815.2 10230.8
94 9777.01 10176.2
95 9642.03 10100.3
96 9583.36 10022.1
97 9481.9 9921.11
98 9390.83 9815.77
99 9304.92 9703.07
100 9203.89 9587.3
101 9203.89 9511.69
102 9132.51 9408.74
103 9132.15 9340.2
104 9060.77 9293.2
105 9045.72 9256.21
106 8974.34 9202.47
107 8974.34 9170.76
108 8946.73 9139.37
109 8927.04 9093.87
110 8843.17 9069.81
111 8815.56 9037.26
112 8759.88 8988.28
113 8732.28 8936.55
114 8717.42 8884.35
115 8680.33 8845.96
116 8594.29 8842.2
117 8551.83 8853.97
118 8551.83 8916.14
119 8551.83 8879.31
120 8494.12 8764.33
121 8176.58 8681.45
122 8176.58 8667.05
123 8176.58 8750.73
124 8156.95 8829.16
125 8148.92 8866.52
126 8109.2 8819.29
127 8109.2 8681.35
128 8099.35 8556.35
129 8099.35 8397.08
130 8059.6 8283.86
131 8047.66 8236.23
132 7998.07 8183.31
133 7982.54 8176.5
134 7982.54 8131.12
135 7969.38 8115.87
136 7907.42 8089.52
137 7886.47 8057.64
138 7811.35 8032.92
139 7811.35 8013.01
140 7803.83 7978.81
141 7773.59 7939.29
142 7751.1 7918.21
143 7699.49 7873.96
144 7691.98 7844.64
145 7653.37 7829.64
146 7612 7824.63
147 7556.34 7837.6
148 7533.21 7838.06
149 7533.21 7807.86
150 7530.49 7748.69
151 7530.49 7688.63
152 7495.34 7654.51
153 7489.49 7623.69
154 7454.5 7614.31
155 7389.06 7579.07
156 7314.17 7561.39
157 7314.17 7537.79
158 7314.17 7476.14
159 7256.46 7406.46
160 7256.46 7399.65
161 7256.46 7395.42
162 7256.46 7373.4
163 7178.54 7350.04
164 7172.12 7338.09
165 7094.2 7310.14
166 7050.81 7303.11
167 7046.47 7259.37
168 7039.43 7194.54
169 7035.09 7141.67
170 7027.43 7124.65
171 7016.05 7120.41
172 7009.54 7127.33
173 6986.16 7106.84
174 6978.49 7120.72
175 6961.57 7122.93
176 6954.76 7107.14
177 6935.17 7088.32
178 6935.17 7055.53
179 6921.75 7032.55
180 6915.46 7012.05
181 6915.46 7013.84
182 6891.05 7002.19
183 6878.66 6996.94
184 6818.39 6972.27
185 6798.79 6945.14
186 6798.79 6915.93
187 6796.57 6882.36
188 6764.48 6860.22
189 6730.27 6853.46
190 6730.27 6834.81
191 6730.27 6828.64
192 6730.27 6816.29
193 6730.27 6793.75
194 6723.01 6779.63
195 6696.92 6793.17
196 6661.66 6810.64
197 6661.66 6788.1
198 6661.66 6768.92
199 6661.66 6768.3
200 6656.71 6739.84
201 6656.25 6744.22
202 6656.25 6752.53
203 6648.47 6759.47
204 6648.47 6779.07
205 6648.47 6779.72
206 6648.47 6779.68
207 6648.47 6766.16
208 6648.47 6730.06
209 6648.47 6723.71
210 6648.47 6707.56
211 6648.47 6697.22
212 6648.47 6711.31
213 6648.47 6708.75
214 6648.47 6713.62
215 6648.47 6719.91
216 6648.47 6730.23
217 6648.47 6718.6
218 6648.47 6702.18
219 6648.47 6707.87
220 6648.47 6688.47
221 6648.47 6679.86
222 6632.58 6713.73
223 6632.58 6701.52
224 6632.58 6700.9
225 6632.58 6723.2
226 6632.58 6709.95
227 6632.58 6691.34
228 6632.58 6692.36
229 6632.58 6696.37
230 6632.58 6711.79
231 6632.58 6703.14
232 6632.58 6711.09
233 6632.58 6679.45
234 6632.58 6670.41
235 6603.72 6676.26
236 6603.72 6675.23
237 6603.72 6681.46
238 6556.68 6663.66
239 6556.68 6671.34
