Generation Loss_Best Loss_Average_Half
0 42000.3 47679
1 40829.5 45673.4
2 39151.6 43776.9
3 37497.5 42088.6
4 36702.1 40344.4
5 35787.7 38776.9
6 34511.2 37350.8
7 33498.3 36238.3
8 32924.5 35134.2
9 32093.5 34212.1
10 31817 33471.2
11 30461.6 32920.8
12 29949 32269.5
13 29248.5 31420.8
14 29159.2 30521
15 28714 29917
16 28269.1 29519.5
17 28090.3 29252.4
18 27250 28982.8
19 26985.9 28523.9
20 26632.9 28086
21 25959.2 27567.1
22 25923.6 27171.1
23 25190.3 26761.5
24 24441.6 26243.5
25 24378.2 25738.4
26 23557.7 25178.3
27 23435.7 24709.6
28 23191.9 24316.4
29 23044.7 23823.9
30 22496.2 23494.7
31 21886.1 23332.6
32 21774.9 23217.3
33 21697 22940.3
34 21336.1 22791.8
35 21201.5 22462.3
36 20854.3 22117.1
37 20795.5 21759.1
38 20354.4 21459.9
39 20214.4 21115.7
40 19812.1 20847.2
41 19569.8 20680
42 19235.9 20360.2
43 19217.3 20050
44 18716.6 19737.9
45 18601.6 19396.9
46 18376.4 19206.5
47 18156.4 18982.2
48 18103.9 18781
49 17769 18568.4
50 17556.8 18390.8
51 16936.9 18183.2
52 16936.9 17974
53 16636.6 17531.5
54 16579.7 17222.2
55 16373.7 16990.4
56 15962.6 16830.4
57 15962.6 16638.8
58 15787.2 16572.3
59 15513.6 16424.2
60 15513.6 16176.8
61 15290.3 16020.4
62 15290.3 15845.6
63 15204.5 15715
64 15033.4 15536.5
65 14958.3 15416.9
66 14723.3 15263.3
67 14486.5 15140.2
68 14372.1 14957
69 14372.1 14830.2
70 14318.2 14646.5
71 14194.7 14580.9
72 14041.8 14496.7
73 13999.2 14451
74 13999.2 14425.3
75 13933.8 14386
76 12975.7 14352.8
77 12875.9 14255.5
78 12797.7 14127.1
79 12661.2 13844.8
80 12661.2 13444.6
81 12340 13106.1
82 12340 13043.9
83 12335.2 12901.3
84 12279.4 12746.4
85 12274.6 12538.2
86 12191.8 12439.4
87 12055.7 12369.7
88 11984 12309.2
89 11826.8 12241.5
90 11749.1 12198
91 11735.6 12087.5
92 11629.6 12005.3
93 11527.4 11904.9
94 11522.7 11848.6
95 11503.8 11720.8
96 11407.9 11638.3
97 11344.6 11577.4
98 11263.7 11537
99 11016.5 11491.5
100 11016.5 11387.6
101 11008.9 11272.4
102 10880.9 11183.3
103 10876.3 11130.3
104 10793.1 11013.4
105 10754.3 10965.4
106 10725.7 10933.2
107 10712.1 10864.5
108 10646.6 10834.7
109 10583.1 10849.5
110 10583.1 10834.5
111 10504.1 10765.9
112 10460 10701.8
113 10380.9 10652.5
114 10300.2 10615.5
