Generation Loss_Best Loss_Average_Half
0 42779.4 47491.4
1 39726.4 45489.4
2 38724.1 43691.3
3 37893.3 42126.2
4 37192 40570.6
5 36050 39115.6
6 34876.2 38012.4
7 33989.3 37090.6
8 33716.4 36082.6
9 32076.7 35128.4
10 31981.4 34387.9
11 31252.6 33404
12 30649.5 32614.8
13 30089 31848
14 29262 31211
15 28044 30576.2
16 27880.5 29793.9
17 26694.5 29030.6
18 26585.5 28363.9
19 26163.9 27713.1
20 25568.2 27071.2
21 25283 26569.9
22 24388.6 26051
23 23826.7 25576
24 23784.5 24889.2
25 23242.7 24440.5
26 23175.2 24053.9
27 22813 23706.5
28 22567 23390.1
29 22380.2 23110.5
30 21881.2 22960.4
31 21773.4 22724.5
32 21232.3 22436.9
33 20804.9 22112
34 20657.9 21787.1
35 20291.5 21430.7
36 20100.2 21007.3
37 19979.7 20818.7
38 19968.7 20586.8
39 19584 20371.8
40 19369.6 20279
41 19213.5 20020.9
42 18943.3 19811.5
43 18575.8 19573.3
44 18575.8 19322.5
45 18260.4 19088.9
46 18161.1 18912.4
47 17889.5 18638.8
48 17758.9 18469.8
49 17758.9 18317.7
50 17721.4 18232.1
51 17401.9 18027.7
52 17145.8 17899.1
53 17083.1 17687.2
54 16908.4 17539.7
55 16845.7 17362.5
56 16680.9 17267.6
57 16618.3 17111.3
58 16618.3 17000.4
59 16506.5 16906.4
60 16480.5 16783.5
61 16357.5 16713.5
62 16249.7 16683.5
63 15991.6 16608.1
64 15978.1 16496.7
65 15848.1 16346.1
66 15848.1 16227.6
67 15727.9 16076.4
68 15639.2 16020.9
69 15519 15915.1
70 15506.3 15846.7
71 15479.7 15761.8
72 15385.8 15704.9
73 15194.5 15647.3
74 15166.1 15566.1
75 14948.1 15483.6
76 14728.4 15348.5
77 14728.4 15266.9
78 14630.9 15109.3
79 14588.8 14971.9
80 14539.8 15022.1
81 14423.8 15000.7
82 14288.5 14854.9
83 14239.5 14774.5
84 14225.7 14649.1
85 14176.7 14480.6
86 14079.1 14476.9
87 14044.6 14348.1
88 13936.2 14300.4
89 13827.6 14185.9
90 13757.7 14125.8
91 13757.7 14011.6
92 13681.5 13929
93 13526.8 13869.4
94 13526.8 13821.5
95 13492.7 13941.6
96 13400.4 13999.2
97 13372.3 14009.2
98 13249.4 13865.8
99 13199.4 13744.4
100 13076.5 13626.9
101 13063.2 13499.9
102 12881 13393.1
103 12801.3 13261
104 12216.2 13126.2
105 12136.4 12991.8
106 12020 12731.4
107 11777.4 12504.6
108 11568.7 12343.5
109 11568.7 12221.1
110 11493.9 11999.8
111 11483.3 11875.5
112 11483.3 11835.7
113 11455.7 11784.6
114 11417.8 11732.9
115 11379.6 11659
116 11320.1 11613.8
117 11170.5 11540.2
118 11170.5 11452.7
119 11170.5 11393.7
120 11170.5 11340.2
121 11094.7 11311.4
122 11069.6 11271
123 10933.5 11200
124 10857.7 11202.8
125 10857.7 11206.9
126 10857.7 11233.2
127 10857.7 11198.8
128 10839.9 11100
129 10750.4 11078.5
130 10750.4 11008.1
131 10750.4 11003.6
132 10721.5 10997.3
133 10663.5 10887.1
134 10634.6 10853.4
135 10634.6 10931.7
136 10634.6 10944
137 10551.7 10951.5
138 10500.4 10882.5
139 10500.4 10918.7
140 10493.2 10857
141 10323.3 10762.7
142 10189 10769.7
143 10119.4 10700.2
144 10060.9 10592.9
145 10060.9 10427.2
146 10060.9 10285.2
147 9983.12 10222.2
148 9911.57 10163.9
149 9815.38 10117.9
150 9608.77 10045.8
151 9608.77 9939.17
152 9516.83 9835.67
153 9503.94 9779.23
154 9492.45 9761.2
155 9451.99 9752.27
156 9448.32 9716.66
157 9420.76 9720.56
158 9366.64 9701.79
159 9348.56 9729.17
160 9202.81 9679.28
161 9202.81 9577.12
162 9180.58 9432.66
163 9180.58 9365.21
164 9142.23 9316.41
165 9115.96 9289.54
166 9055.38 9234.16
167 9005.61 9184.25
168 8903.41 9155.07
169 8903.41 9166.56
170 8886.19 9086.67
171 8869.48 9050.92
172 8773.64 9006.98
173 8756.93 8960.09
174 8756.93 8940.62
175 8739.71 8906.85
176 8736.36 8875.07
177 8736.36 8827.88
178 8662.07 8872.62
179 8545.03 8832.23
180 8545.03 8818.94
181 8499.32 8713.1
182 8499.32 8675.87
183 8493.51 8659.62
184 8493.51 8602.04
185 8493.51 8571.08
186 8493.51 8570.68
187 8482.54 8554.51
188 8480.48 8555.11
189 8430.43 8591.61
190 8409.55 8552.14
191 8357.44 8542.48
192 8357.44 8501.21
193 8357.44 8450.79
194 8343.92 8431.24
195 8319.32 8428.36
196 8305.8 8454.98
197 8278.28 8418.98
198 8264.76 8398.21
199 8264.76 8383
200 8213.49 8326.17
201 8166.39 8289.44
202 8166.39 8252.43
203 8115.13 8236.82
204 8115.13 8192.66
205 8115.13 8178.18
206 8093.4 8166.39
207 8093.4 8205.37
208 8093.4 8336.81
209 8072.5 8480.72
210 8072.5 8498.3
211 8072.5 8554.32
212 8048.48 8562.47
213 8045.31 8356.75
214 8045.31 8386.61
215 8043.58 8536.88
216 8043.58 8580.6
217 8043.58 8692.46
218 8043.58 8633.39
219 8043.58 8489.34
220 8043.58 8316.52
221 8017.65 8241.57
222 7975.28 8201.48
223 7975.28 8178.75
224 7975.28 8155.26
225 7975.28 8069.97
226 7974.98 8046.47
227 7974.98 8024.28
228 7974.98 8022.72
229 7974.98 8055.59
230 7974.98 8046.67
231 7974.98 8020.36
232 7974.98 8052.76
233 7972.66 8044.7
234 7972.66 8062.21
235 7972.29 8095.78
236 7972.29 8148.08
237 7972.29 8249.66
238 7915.78 8340.19
239 7915.78 8344.42
240 7896.52 8398.47
241 7896.52 8332.62
242 7896.52 8245.5
243 7896.52 8142.57
